.,English
EventInterHorrorCheck1.text,"Seeing that you are unnerved at his presence, the Interloper grabs at a few of the chunks of the flesh clinging to his body and tosses them at you. Suffer 2 Horror ({agility} negates)"
EventInterHorrorCheck1.button1,Continue
EventInterHorrorCheck2.text,The Interloper’s eyes take on a warped appearance. You find yourself transfixed as visions of the destruction of another world unfold in your mind. Suffer 2 facedown Horror ({will} negates). If you suffer more than 1 Horror become Dazed.
EventInterHorrorCheck2.button1,Continue
EventInterHorrorCheck3.text,As you try to keep your distance from the Interloper he begins to laugh. The sound echoes deep into the recess of your mind reminding you of past fear from your childhood. Suffer 3 Horror ({will}+1 negates). Then flip one facedown Horror.
EventInterHorrorCheck3.button1,Continue
EventInterHorroCheck4.text,"The creature’s shadow begins to grow, enveloping everything around it in darkness. You begin to feel petrified with fear ({strength}, 2). If you pass, you brush it off as you notice it’s just the lights flickering around the room. If you fail, suffer 1 facedown Horror, then become Restrained."
EventInterHorroCheck4.button1,Continue
EventInterHorrorCheck5.text,The Interloper locks eyes with you and begins speaking in an other-worldly tongue. You are horrified when you begin replying to him in a similar tongue. Suffer 2 Horror({influence} negates).
EventInterHorrorCheck5.button1,Continue
EventInterHorrorCheck6.text,"As you wait for the Interloper to move, you are surprised to get a blank stare in response. Suddenly his head twitches to one side and his body begins to turn into a mass of writhing bugs working their way towards you. ({observation}, 2) If you pass, you see through the cheap glamour for what it is. If you fail, thousands of tiny legs skitter across your body as you try to knock the bugs off, suffer 2 Horror and become Restrained."
EventInterHorrorCheck6.button1,Continue
EventInterHorrorCheck7.text,"The lights around you begin to dim and sound begins to fade. Colors fade and you begin to worry that you will fade away too. Everything snaps back with a pop as you hear the Interloper laugh. He states that this is just a taste of things to come. Suffer 2 facedown Horror. The vision stirs up old mental anguish, flip 1 facedown Horror up."
EventInterHorrorCheck7.button1,Continue
EventInterEvade7.text,"You hear a crash in the next room which draws the attention of the Interloper. You feel this is the moment to make a break for it. ({agility}+1, 3) If you pass, you creep off before he even notices you’re gone. If you fail, you stub your toe on a table leg. Take one Damage for each failed roll unless you forfeit your action."
EventInterEvade7.button1,Continue
EventInterloperEvadeChecks.button1,Button1
EventInterloperMovesSelector.button1,Button1
EventInterEvade1.text,"You turn to run from the Interloper and are surprised to find him standing behind you. He pulls his arm back to strike you ({agility}, 2). If you pass, you are able to duck and scramble away before he makes contact. If you fail, his strike knocks you to the floor. Suffer 1 damage and forfeit your action."
EventInterEvade1.button1,Continue
EventInterEvade2.text,"As if sensing your desire to escape his reach the Interloper swings his glowing fist around to strike the floor. ({agility}+1, 3) If you pass, your movements confuse the creature and he accidentally crashes his hand into a railing, the energy throws him back, and he falls taking one damage. If you fail, his fist strikes the ground causing all investigators in the space to fall to the floor taking one Damage and you forfeit your action."
EventInterEvade2.button1,Continue
EventInterEvade3.text,"You run at the creature, sliding at the last second as the creature kicks in your direction. Suffer 3 facedown damage({agility}+1 negates). If you suffer 2 or more damage, forfeit you action."
EventInterEvade3.button1,Continue
EventInterEvade4.text,"Leaping out of danger’s way, you tuck into a roll across the room. Move 1 space away from the Interloper. As you start to stand back up you notice that the creature has conjured a ball of energy to throw at you ({agility}, 2) If you pass, the ball of lighting moves past you on the right. If you fail, you misjudge the direction the ball will take, take 1 facedown damage and become restrained."
EventInterEvade4.button1,Continue
EventInterEvade5.text,"Making a dash to escape, you bolt across the room and are halfway there when you feel the room begin to shift. It suddenly feels like everything is moving in circles({agility},2). If you pass, you close your eyes and trust your gut to lead you away from danger. If you fail, when you open your eyes you find yourself right back where you started, only dizzier. Become dazed and forfeit your action."
EventInterEvade5.button1,Continue
EventInterEvade6.text,"Taking steps away from the Interloper, you hope to be able to put some distance in before he notices. ({agility}, 2) If you pass, you are able to sneak away without being caught. If you fail, the creature sees you out of the corner of his eye and rushes your direction swinging a clawed hand at you. Suffer 1 Damage. Suffer 1 additional Damage unless you forfeit your action."
EventInterEvade6.button1,Continue
EventInterMoves1.text,The Interloper moves up to two spaces to be in range to as many Investigators as possible. Then it attacks the Investigator with the highest {observation}.
EventInterMoves1.button1,Continue
EventInterMoves1.button2,Unable to Attack
EventIntRangedAttack.button1,Button1
EventInterMoves2.text,The Interloper moves two spaces to be in range of as many investigators as possible. Then it attacks the Investigator in range with the highest {lore}.
EventInterMoves2.button1,Continue
EventInterMoves2.button2,Unable to Attack
EventInterMoves3.text,The Interloper moves two spaces to be in range of as many investigators as possible. Then it attacks the Investigator in range with the highest {observation}.
EventInterMoves3.button1,Continue
EventInterMoves3.button2,Unable to Attack
EventInterMoves4.text,The Interloper moves two spaces to be in range of as many investigators as possible. Then it attacks the Investigator in range with the lowest {will}.
EventInterMoves4.button1,Continue
EventInterMoves4.button2,Unable to Attack
EventInterMoves5.text,The Interloper moves two spaces towards the nearest investigator. Then it attacks the Investigator with the lowest remaining Sanity.
EventInterMoves5.button1,Continue
EventInterMoves5.button2,Unable to Attack
EventInterMoves6.text,The Interloper moves up to two spaces towards the nearest investigator. Then it attacks the Investigator in its space with the lowest {will}.
EventInterMoves6.button1,Continue
EventInterMoves6.button2,Unable to Attack
EventInterMoves7.text,The Interloper moves up to two spaces towards the nearest investigator. Then it attacks the Investigator in its space who has suffered the most horror.
EventInterMoves7.button1,Continue
EventInterMoves7.button2,Unable to Attack
EventInterMoves8.text,The Interloper moves up to two spaces towards the nearest investigator. Then it attacks the Investigator in its space with the lowest {influence}.
EventInterMoves8.button1,Continue
EventInterMoves8.button2,Unable to Attack
EventInterMoves9.text,"The Interloper moves up to two spaces towards the nearest investigator, then attacks the Investigator in its space who has suffered the most Damage."
EventInterMoves9.button1,Continue
EventInterMoves9.button2,Unable to Attack
EventInterAltMoves.button1,Button1
EventInterAltMove1.text,Sensing you from across the house the Interloper moves 2 spaces towards the nearest Investigator.
EventInterAltMove1.button1,Continue
EventInterAltMove2.text,The Interloper moves one space towards the nearest Investigator.
EventInterAltMove2.button1,Continue
EventInterAltMove3.text,Thinking he may have found the weak link in the Investigative team the Interloper moves 2 spaces towards {rnd:hero}.
EventInterAltMove3.button1,Continue
EventInterRangedAttack3.text,The creature slaps its hands together summoning a ball of swirling green and yellow energy. He tosses it across the room where it strikes your chest causing you to thrash wildly. Suffer 3 facedown damage({strength}+1 negates). If you suffer 2 or more damage the energy causes you to drop one of the items you are carrying.
EventInterRangedAttack3.button1,Continue
EventIntLocalAttack.button1,Button1
EventInterRangedAttack1.button1,Continue
EventInterRangedAttack1.text,"The Interloper pinches a point in the air and pulls open a tear in the fabric of reality. He reaches in and pulls out a long ritual dagger. With a sly grin, he tosses it across the room. Suffer 2 Damage({agility} negates)"
EventInterRangedAttack2.text,Waving its arms wildly the Interloper crashes his palms to the floor creating a vent billowing in some of the most rotten and fetid gas. You and each Investigator in your space begin to choke on the unearthly poison. Suffer one Damage and one facedown Horror.({observation}-1 negates)
EventInterRangedAttack2.button1,Continue
EventInterLocalAttack3.text,"The creature takes out what appears to be a device that absorbs light, creating a curtain of darkness wherever it points. In the confusion you catch your foot on the carpet and wind up smashing your head into an oak davenport. Suffer 3 Damage, ({observation}+1 negates). If you suffer 2 or more Damage, your fear of the uncertainty of what lies in the dark rattles you, flip 1 Horror face-up and place a Darkness Tile in your space."
EventInterLocalAttack3.button1,Continue
EventInterLocalAttacks4.button1,Continue
EventInterLocalAttacks4.text,As you stand ready to block whatever the creature will do next the space around you begins to warp. You realize that it is trying to accelerate the flow of time. You are horrified to see everything moving at inhuman speeds. Suffer 3 Horror({will} negates).
EventInterLocalAttacks5.text,"As you watch to see what the Interloper will do you notice that he starts to fade from view. You start to look around when you notice he is right behind you. ({will},2) If you pass, you are able to dodge before being hit with a large rod. If you fail, the rod hits you on the back of your head. Take 2 facedown Damage and become Stunned."
EventInterLocalAttacks5.button1,Continue
EventInterLocalAttack6.text,From across the room the Interloper points at you and then the ceiling. Suddenly you feel your feet start to leave the floor as you begin to float off the floor. You try to stop yourself but find that you are only able to flap about. As you gain some height the creature swipes his hand as if cutting invisible cords and you fall back to the ground. Suffer 1 Damage and 1 Horror({observation} negates).
EventInterLocalAttack6.button1,Continue
EventInterLocalAttacks7.button1,Continue
EventInterLocalAttacks7.text,The Interloper stares at you with cold
EventInterLocalAttack1.button1,Continue
EventInterLocalAttack1.text,The Interloper reaches out with sharp claws coming closer and closer to rake long gashes across your abdomen. Suffer 2 damage({agility}-1 negates)
EventInterLocalAttack2.text,"Using its strong legs the creature propels into the air, crashing down upon you.({strength}, 2) If you pass, you are able to easily push the monster to the side. If you rolled 3 or higher, the monster crashes into a railing from the strength of your push taking 1 damage. If you fail, you get the wind knocked out of you. Take 2 damage, then become Stunned."
EventInterLocalAttack2.button1,Continue
EventRemoveOtheraTillLater.text,Othera turns and walks back through the door she came from.\n\nRemove the Othera Gilman Token from the board.
EventRemoveOtheraTillLater.button1,Continue
EventOtheraGreeting.text,"Othera greets you, <i>Thank you for coming on such short notice. I didn’t know who to turn to. My fiancé recently brought me here after this estate was left to him by his parents. He had been estranged from them for many years with no contact. After they died in rather horrible accidents, Bobby decided that he would come here and get the place ready to sell so we could prepare for our future. Now he barely leaves the room he has made his own at the top of the stairs. He seems like a completely different person.</i>\n"
EventOtheraGreeting.button1,Continue
SpawnInterloperComesAfterBobbyDies.text,"Deciding it would be wise to protect his master, the imposter Bobby reveals his true self. With a sharp talon exposed he makes a slice up his abdomen to free himself from the false skin form.\n\nPlace a Deep One as indicated. This represents the Dimensional Interloper. For the sake of this scenario the Interloper has an Evade of 7.\n"
SpawnInterloperComesAfterBobbyDies.button1,Continue
SpawnInterloper.text,<i> I guess this is useless now
SpawnInterloper.button1,Continue
EventStarSpawnKills.button1,Continue
EventInterloperKills.button1,Continue
EventStarAndInterloperKilled.button1,Continue
EventEventEndWinGood.button1,Continue
EventStarSpawnDies.button1,Button1
EventInterloperKilled.button1,Button1
EventFourthDown.text,<i>There is only one left! Please hurry!</n>
EventFourthDown.button1,Continue
SpawnRightHallCultist.text,"Coming to aid the forces of darkness as agreed, a cultist steps in from the shadows. Spawn a Cultist as indicated."
SpawnRightHallCultist.button1,Continue
SpawnLeftHallCultist.text,Sensing his master’s anger a cultist appears from the void ready to attack.
SpawnLeftHallCultist.button1,Continue
SpawnHuntingHorrorInternalHall.text,Slithering though a crack in reality a wretched snake-like beast come to the aid of evil.
SpawnHuntingHorrorInternalHall.button1,Continue
SpawnHuntingHorrorBilliards.text,Forcing its way onto our plane of existence another writhing snake beast appears. Spawn a Hunting Horror as indicated.
SpawnHuntingHorrorBilliards.button1,Continue
EventDefeatedInvestigatorLoss.button1,Button1
EventGrumbleContinue.text,"You hear some grumblings and musings come from the other side of the door, but it sounds like Othera has gotten Bobby to leave with her. Once you hear their car pull away you consider it safe to continue your search. \n\nRemove the Bobby Foster and Othera Gilman tokens from the board."
EventGrumbleContinue.button1,Continue
EventRemovePedestalTwo.text,Discard the Grotesque Stone Unique item card and remove this Interact Token.
EventRemovePedestalTwo.button1,Continue
EventRemovePedestalThree.text,Discard the Grotesque Stone Unique item card and remove this Interact Token.
EventRemovePedestalThree.button1,Continue
EventRemovePedestalFour.text,Discard the Grotesque Stone Unique item card and remove this Interact Token.
EventRemovePedestalFour.button1,Continue
EventRemovePedestalFive.text,Discard the Grotesque Stone Unique item card and remove this Interact Token.
EventRemovePedestalFive.button1,Continue
EventExploreKitchen.text,. Remove the Explore Token leading to the Kitchen. You may move one space into the explored area.
EventExploreKitchen.button1,Confirm
EventPlaceTokenToKitchen.text,On the other side of the room you see a swinging door leading into the kitchen. \n \n Place an Explore Token as indicated.
EventPlaceTokenToKitchen.button1,Confirm
SpawnHearldOfStar.button1,Continue
SpawnHearldOfStar.text,Acting as a herald of the coming darkness a man in robes steps out of the shadows to take his place in service to the beast.\n\nPlace a Cultist as indicated.
SpawnHearldOfBeast2.button1,Continue
SpawnHearldOfBeast2.text,Sensing it is time for him to fulfil his end of the dark bargain a man in robes steps forward.\n\nSpawn a Cultist as indicated.
EventStarSpawnPage2NewWinComdition.text,"With a boost in energy from its wretched meal the beast easily knocks down a panel of the cell, opening a way to unleash his madness and terror upon the world.\n\nInvestigators win if they are able to destroy the Star Spawn.\n"
EventStarSpawnEndGameInfo.text,While Othera and Bobby are both gone the Investigators can still prevent the hulking monstrosity from tearing reality apart.\n\n The Investigation is complete when the \nStar Spawn is destroyed.
EventStarSpawnEndGameInfo.button1,Continue
SpawnBeastFromBeyond.text,"Finding its way to the cage by following the power of the trapped spirit a most unimaginable, massive beast appears. Tentacles hang from where a mouth should be and piercing yellow eyes peer from above them. A massive clawed hand reaches out, grabs hold of the incorporeal form, and swallows the soul of the incarcerated."
SpawnBeastFromBeyond.button1,Continue
EventStarSpawnPage2NewWinComdition.button1,Continue
EventDeadBeforeFinal.button1,Continue
TokenWallSafe.text,You reach out to rearrange the tiles. \n \n \n Attempt to solve the puzzle using {observation} 
EventOnlyHaveManuscript.text,<i>What have you found to show me?</n>
EventOnlyHaveManuscript.button1,Show the Arcane Manuscript
EventOnlyHaveManuscript.button2,Cancel
EventWallSafeSwitch.text,Moving the pieces around you find yourself becoming more and more unnerved as each connecting piece reveals the visage of a monster - most maddening. As the last piece of the puzzle snaps into place you hear a loud click. The painting swings away from the wall like a door revealing a physical representation of the disturbing picture and a small button.\n\nGain the Grotesque Stone Unique item.\n
EventPlaceOtheraIntro.text,Coming from the door directly to your left is a distressed looking young woman. Add the Othera Gilman Token to the board as indicated.
EventPlaceOtheraIntro.button1,Continue
EventSpiritAttacksBobby.text,The spirit of Bobby appears and attacks his former body in an attempt to protect Othera from the evil.\n<i>Get away from her you imposter</i>!\n\nPlace the Blue Man Token as indicated
UIInterloperGoodContinue.button1,Button1
EventOtheraChained.text,"The rotting figure makes a few symbols in the air while chanting in a language that seems far removed from anything of this world. Tilting his head back he lets out an evil cackle as Othera’s body flies back against the wall, metal shackles and chains sprouting out to hold her in place.\n\nMove Othera across the room as indicated."
EventBobbyOtheraReturn.text,"The front door flies open, as the man pretending to be Bobby drags Othera in by her wrist.\n<i>Who do you think you are meddling in affairs that have nothing to do with you? </i>\nAdd the Bobby Foster and Othera Gilman tokens to the board as indicated."
EventBobbyOtheraReturn.button1,Continue
EventGoodFinalBattleBegin.button1,Continue
EventSearchedCoalBin.text,"As you move the coal to one side of the bin you find a solid looking 2x4 that looks useful as a weapon or to board up a door.\n\nGain the 2x4 Common Item card, then discard this Search Token."
CustomMonsterBeastFromBeyond.monstername,Star Spawn
CustomMonsterBeastFromBeyond.info,-
EventIsThisBoth.button1,Continue
EventOtheraReceivesProof.button1,Button1
EventCheckExploration.button1,Button1
UIAct2Continue.button1,Button1
EventRemovedAct2UI.button1,Button1
TokenBobbyInChair.text,"As I've said, you have no reason to be in here. Now leave!"
TokenBobbyInChair.button1,Continue
EventOtherAnythingElse.text,	<i>Bobby spends his days in the room at the top of the stairs. Even when he leaves the room he barely interacts with me. The last time I saw him I managed to sneak some keys away from him. This one is to the bedrooms.</i>
TokenNotTheAttic.button1,Continue
TokenNotTheAttic.text,It would probably be better not to bother anything while Bobby is watching.
TokenNotTheWallSafe.text,It would probably be better not to bother anything while Bobby is watching.
TokenNotTheWallSafe.button1,Continue
EventBedroomDoorLocked.text,"You try the handle, but find it to be locked."
EventBedroomDoorLocked.button1,Continue
TokenOtheraAfterProof.text,<i>Please see if you can find anything else... I'll see what I can do to get Bobby out of his room...</i>
TokenOtheraAfterProof.button1,Continue
EventOnlyHaveRitualComponents.text,<i>What have you found to show me?</i>
EventOnlyHaveRitualComponents.button1,Show the Ritual Components
EventOnlyHaveRitualComponents.button2,Cancel
EventOptionForBothItems.text,<i>What have you found to show me?</i>
EventOptionForBothItems.button1,Show the Arcane Manuscript
EventOptionForBothItems.button2,Show the Ritual Components
EventOptionForBothItems.button3,Cancel
EventHaveNoItems.text,<i>Please let me know if you find anything...</i>
TokenOtheraInDR.text,<i>Have you found anything?</i>
TokenOtheraInDR.button1,Continue
EventHaveNoItems.button1,Continue
EventOtheraMovesImmediately.text,Move the Othera Gilman Token to the Dining Room as indicated.
EventOtheraMovesImmediately.button1,Continue
EventOtherAnythingElse.button1,Continue
TokenOtherWhatAndAnything.button2,{action} Is there anything else we should know?
TokenOtherWhatAndAnything.button1,{action} What can you tell me about this place?
TokenOtherWhatAndAnything.text,An investigator may spend an action to talk to Othera.
TokenOtheraWhyAndAnything.button2,{action} Is there anything else we should know?
TokenOtheraWhyAndAnything.button1,{action} Why are we here?
TokenOtheraWhyAndAnything.text,An investigator may spend an action to speak with Othera.
TokenOtheraIntro.text,An Investigator may spend an action to speak with Othera.
TokenOtheraIntro.button1,{action} Why are we here?
TokenOtheraIntro.button2,{action} What can you tell me about this place?
EventOtheraWhyHere.text,"	<i>My fiancé has changed since we arrived here at his family’s old estate. I’m not quite sure what has happened, but I feel there has to be something here. Can you please try to help him?</i>\n\nGain one clue.\n"
EventOtheraWhatPlace.text,"	<i>The estate has been in Bobby’s family for some time. I know that he has avoided his family for many years, but he’s never told me why. Wherever I go in this place, I get the sense of being watched. And there are rooms that I'm too scared to even enter...</i>\n\nGain one clue.\n"
EventOtheraWhatAndWhy.text,"	<i>My fiancé has changed since we arrived here at his family’s old estate. I’m not quite sure what has happened, but I feel there has to be something here. Can you please try to help him?</i>\n\nGain one clue.\n"
EventOtheraWhyAndWhat.text,"	<i>The estate has been in Bobby’s family for some time. I know that he has avoided his family for many years, but he’s never told me why. Wherever I go in this place, I get the sense of being watched. And there are rooms that I'm too scared to even enter...</i>\n\nGain one clue.\n"
TokenOtheraAnythingOnly.text,An investigator may spend an action to speak with Othera.
TokenOtheraAnythingOnly.button1,{action} Is there anything else we should know?
EventOtheraWhyHere.button1,Continue
EventOtheraWhatPlace.button1,Continue
EventOtheraWhyAndWhat.button1,Continue
EventOtheraWhatAndWhy.button1,Continue
EventLobbyExploreTokenPlacement.text,You can see multiple doors leading from the Lobby. \n \n Place five explore tokens as indicated.
EventLobbyExploreTokenPlacement.button1,Confirm
EventPlaceFlowersToken.text,In the middle of the room sits a vase containing flowers. Place a search token as indicated.
EventPlaceFlowersToken.button1,Confirm
UIContinueIntro.button1,Button1
EventRemoveIntro1UI.button1,Button1
UIContinueIntro2.button1,Button1
TokenCoalBin.text,A coal bin sits across from the bottom of the stairs.
TokenCoalBin.button1,{action} Search
EventSpiritOut.text,The spirit rushes past you to search for his love.\n\nRemove the Blue Man Token from the board.
EventSpiritAttacksBobby.button1,Continue
EventOtheraChained.button1,Continue
CustomMonsterInterloper.info,-
EventFifthAndFinal.text,"As you place the last statue a large rush of power flows from the statues into the cage. The spirit of Bobby Foster takes on a bright green glow. \n \n <i> Now that I can get out of here I have to get to Othera! Please, you must help me stop that imposter! </i>"
EventFifthAndFinal.button1,Continue
EventSpiritOut.button1,Continue
TokenSpiritAttacks.text,"The spirit is visibly weakened.\n<i>Please, I've done all I can. You must save her!</i>"
TokenSpiritAttacks.button1,Continue
EventEnergyStrike.text,The energy of the stones collects with the spirit's anger. He flies towards the man standing next to his fiancée in an attempt to keep her safe. As the wild energy comes into contact with the form the spirit once held the magicks cancel each other out.
EventEnergyStrike.button1,Continue
TokenOtheraChained.text,"<i>Help me, please!</i>"
TokenOtheraChained.button1,Continue
EventLobbyBlockedDoor.text,Place a wall token as indicated
EventLobbyBlockedDoor.button1,Confirm
SpawnAtticCultist.text,"Your gaze is drawn away from the mirror as a Cultist apparates from nothing. Energy crackling around him, he shouts across the room at you. \n <i>You will not stop his awakening!</i> \n Spawn a Cultist as indicated."
EventBasementStatueFail.text,"The weight continues to increase until you cannot hold the statue and it drops from your hand onto your foot. Suffer 1 facedown damage. Upon picking it up you find it to be no heavier than something of its size should be. \n \n Gain the Grotesque Stone Unique Item card, then discard this Search Token."
EventBasementStatuePass.text,"You realize just how tired running around this mansion has been making you. You find the strength to carry on. \n \n Gain the Grotesque Stone Unique Item card, then discard this Search Token."
EventCloseDarkBasement.text,"With the statue in your possession you begin to see the darkness melt around you. Everything begins to collapse inwards. Fearing that you might be absorbed into the growing tide you rush for the door. \n\nMove any investigator or monster to the indicated space, then discard the Side Alley Corner 1 {MAD20} and replace the Wall Token\n"
SpawnHuntingHorrorBasement.text,"Beside you the darkness begins to coalesce into the form of a foul snake-like creature, its fangs bared and ready to strike you. Spawn a Hunting Horror as indicated."
EventInvestigatorsStartPoint.text,"You find the Lobby of the mansion to be large, but surprisingly warm. Place your Investigator figures in the starting room as indicated."
EventInvestigatorsStartPoint.button1,Confirm
TokenPedestalFive.text,An ancient pedestal sits with an indentation. It looks like something was recently removed. \n \n An investigator with a Grotesque Stone Unique Item can interact with this pedestal.
EventCloseDarkGarden.text,"With no energy to sustain this place it begins to fall apart and turn to dust. Feeling like the time is speeding everything up, you quickly race to the door.\n\nMove any investigators or monsters into the highlighted space. Remove the Side Alley 2 {MAD20}."
EventPlaceDarkGardenStatue.text,Coming to your senses you see that the swirling energy is coming from a statue sitting on a rotted tree log.\n\nPlace a Search Token as indicated.
EventPlaceDarkGardenStatue.button1,Continue
EventDarkGardenCultist.button1,Continue
EventPedestalsFall.text,As you place the statue into the pedestal it clicks and locks into place.
EventPedestalsFall.button1,Confirm
EventSecondDown.text,"<i>That's two returned. It's a start, but you really need to hurry!</i>"
EventSecondDown.button1,Continue
TokenPedestalTwo.text,An ancient pedestal sits with an indentation. It looks like something was recently removed. \n \n An investigator with a Grotesque Stone Unique Item can interact with this pedestal.
TokenPedestalThree.text,An ancient pedestal sits with an indentation. It looks like something was recently removed. \n \n An investigator with a Grotesque Stone Unique Item can interact with this pedestal.
TokenPedestalFour.text,An ancient pedestal sits with an indentation. It looks like something was recently removed. \n \n An investigator with a Grotesque Stone Unique Item can interact with this pedestal.
EventTakeStatueDR.text,As you begin to lift the statue you don’t even realize that it is connected to a trap. A sharp blade begins to extend toward you from the base of the stone the statue sat on. \n \n Test {agility}
EventTakeStatueDR.button1,Continue
EventTakeStatueDR.button2,Fail
EventStatueDRPass.text,You react quickly and jump back before the blade has a chance to do any damage. \n\nGain the Grotesque Stone Unique Card and 1 clue. Then discard this search token.
EventStatueDRFail.text,You find yourself staring as the blade impales your arm. Luckily you are far enough away that it doesn’t do you any major harm. \n\nSuffer 2 damage and gain the Grotesque Stone Unique Card. Then discard this search token.
EventGetWellStatue.text,As you wrap your fingers around the statue you feel the darkness try to drive you mad. Suffer 2 facedown Horror({will} negates) \n \n Gain the Grotesque Stone Unique Item and discard the Search Token.
EventStatuePullPass.text,You will yourself to move and using as much momentum as you can muster fling yourself out of the energy.\n\nGain the Grotesque Stone Unique Item card and then discard this Search Token.
EventStatuePullPass.button1,Continue
EventGain18Gun.text,"As you reach out to grasp what is under the bed you find your hand on the cold metal of the barrel of a gun. \n\nGain the .18 Derringer Common Item, then discard this Search Token."
PuzzleWallSafe.button1,Confirm
EventSearchFlowers.text,You move closer to the table so that you can see what the vase contains. \n \n Test {observation}
EventPoolKnifePass.text,You cautiously reach into the pocket to find what could be inside. Your fingers grasp the handle of a knife and pull it deftly from its hiding place. \n\nGain one clue and the Knife Common Item. Then discard this search token.
EventPoolFail.text,As you reach into the table you find you are overzealous in reaching for the item and slice the palm of your hand on a rather sharp knife. \n\nTake one facedown damage and gain the Knife Common Item. Then discard this search token.
EventFlowerPass.text,"As you search the vase you notice that someone has created a bouquet of Wormwood, Yew sprigs, Dittany of Crete, and other flowers and plants that mediums use to communicate with and calm the spirits. \n\nGain 2 clues and discard this Search Token."
EventFlowersFail.text,"You thumb through the vase of flowers and plants that adorn the vase. You take no notice that you are thumbing through a collection that mediums used to communicate with and calm the dead, that is until you get a large, heady whiff of the collective aroma and begin having visions of the dead surrounding you. The visions quickly pass, but not without leaving you visibly shaken. \n\nTake one facedown Horror and 1 clue. Then discard this Search Token."
EventGetElderWard.text,As you look for anything of interest you almost overlook a stone etched with an ancient glyph. Gain the Elder Ward Common Item. Then discard this Search Token. 
EventPapersPass.text,You find that your knowledge of the occult has once again helped you make sense of the otherworldly information. Knowledge of how to get stronger takes root in your mind. Gain the Flesh Ward Spell then discard this Search Token.
EventStatuePullFail.button1,Continue
EventCloseDarkGarden.button1,Continue
EventCloseDarkBasement.button1,Continue
EventGetWellStatue.button1,Continue
EventCloseWellDark.text,"With the statue in your possesion the energy creating this place begins to dissipate. \n \n Move all investigators and monsters in the Side Street Corner 2 {MAD20} into the indicated space, then discard this tile."
EventCloseDarkDR.text,With the statue in hand you start to feel the space around you start to draw in. You are pushed back through the portal that you came through. \n \n Move any investigators and monsters into the space as indicated. Then remove the Side Street Corner 1 {MAD20} Tile and add the Wall Token back to the Dining Room.
EventBasementStatuePass.button1,Continue
SpawnHuntingHorrorBasement.button1,Continue
EventBasementStatueFail.button1,Continue
TokenStatueDR.text,One of the missing statues. Its appearance alone causes you much distress.
TokenStatueDR.button1,{action} Take Statue
EventStatueDRPass.button1,Continue
EventStatueDRFail.button1,Continue
EventCloseDarkDR.button1,Continue
TokenWellStatue.text,One of the missing statues. Its appearance alone causes you much distress.
TokenSpiritShowsLocations.text,An investigator may use an action to speak with the spirit.
TokenSpiritShowsLocations.button1,{action} 	Do you have any idea where the statues are hidden?
TokenWellStatue.button1,{action} Take Statue
EventCloseWellDark.button1,Continue
TokenPedestalTwo.button1,{action} Place Statue
EventThirdDown.text,"<i>Okay, that's three. You're over halfway there!</i>"
TokenPedestalThree.button1,{action} Place Statue
TokenPedestalFour.button1,{action} Place statue
TokenPedestalFive.button1,{action} Place Statue
EventThirdDown.button1,Continue
TokenSpiritHelps.text,An Investigator can use an action to speak with the spirit.
TokenSpiritHelps.button1,{action} Why are you stuck in this cage?
TokenSpiritPleaseHelp.text,"<i>Please, you have to find those statues and bring them back here!</i>"
TokenSpiritPleaseHelp.button1,Continue
TokenSpiritAskedTwoInfluTest.button1,Button 1
TokenSpiritAskedWhere.text,An Investigator can use an action to speak with the spirit.
TokenSpiritAskedWhere.button1,{action} Who are you?
TokenSpiritAskedWho.text,An Investigator can use an action to speak with the spirit.
TokenSpiritAskedWho.button1,{action} Where are we?
TokenPortalOut.text,This token represents the portal to the Mansion. You can travel to the marked space on the other side.
TokenPortalOut.button1,Continue
SpawnAtticCultist.button1,Continue
EventAtticCultist.button1,Button 1
EventButtonPushed.text,Another click comes from across the room as the door with no handle pops open slightly. Gain 1 clue and discard this Search Token.
TokenAtticDoorLocked.text,A door without a handle is preventing you from exploring further.
TokenAtticDoorLocked.button1,Continue
EventWallSafeSwitch.button1,Continue
TokenWallSafeSwitch.text,A small button is located within the safe.
TokenWallSafeSwitch.button1,{action} Push Button
EventButtonPushed.button1,Continue
TokenWallSafe.button1,Confirm
TokenLobby2ndLeft.text,A door leading from the Mansion's Lobby.
TokenLobby2ndLeft.button1,{action} Explore
TokenPoolTableKnife.text,Curiosity draws your attention to the pool table's pocket.
TokenPoolTableKnife.button1,{action} Search
EventPoolAgilityTest.text,You reach into the corner pocket to retrieve what it is holding. \n\n Test {agility}
EventPoolAgilityTest.button1,Confirm
EventPoolAgilityTest.button2,Fail
EventPoolFail.button1,Confirm
EventPoolKnifePass.button1,Confirm
TokenExploreKitchen.text,A swinging door leads into the Kitchen.
TokenExploreKitchen.button1,{action} Explore
TokenLobbyFlowers.text,A vase of fresh-looking flowers sits on the table in the Lobby.
TokenLobbyFlowers.button1,{action} Search
EventFlowerPass.button1,Confirm
EventFlowersFail.button1,Confirm
EventSearchFlowers.button1,Confirm
EventSearchFlowers.button2,Fail
EventGain18Gun.button1,Confirm
PuzzleChestIHRightBedroom.text,Where does this show?
EventSearchedCoalBin.button1,Confirm
EventSpellBehindPainting.text,As you move the painting several pages fall to the floor and you are unsure whether they are in the correct order. You pick them up and try your best to figure out what is correct. \n \n Test {lore}.
EventSpellBehindPainting.button1,Confirm
EventSpellBehindPainting.button2,Fail
