.,German
EventSolvePuzzle.text,"Du hast es geschafft den Code beim ersten Mal zu erraten.\nEin schmaler Zugang führt ins Haus. Platziere das Spielplanteil {ffg:TILE_BATHROOM_MAD20}, wie gezeigt."
EventSolvePuzzle2.text,"Du hast es geschafft die Kabel zu überbrücken und hörst ein Klicken.\n\nEin schmaler Zugang führt ins Haus. Platziere das Spielplanteil {ffg:TILE_BATHROOM_MAD20}, wie gezeigt."
EventSpawnDogPriest.text,"Der Hund scheint dir ins Haus gefolgt zu sein. Platziere den Personenmarker, wie gezeigt."
EventSpeaktoDog.text,"Der Hund schaut zu dir hoch, als du nach ihm greifst um ihn zu streicheln, ""Ich wusste, dass du kommen würdest"". Du weichst erschreckt zurück, der Hund hat gerade mit dir gesprochen. Du fragst dich ob du immer noch träumst, dann fängt der Hund wieder an zu sprechen ""Wirst du mir helfen?"""
EventStart1Tile.text,"Du erwachst von einem seltsamen Traum und befindest dich vor einem seltsamen Haus. Platziere das Spielplanteil {ffg:TILE_CONSERVATORY_MAD20}, wie gezeigt."
EventStart2Placefigs.text,"Du betrittst den Vorhof, ohne dich daran erinnern zu können, wie du hier her gekommen bist.\nPlatziere deine Ermittler, wie gezeigt. Jeder Ermittler erhält zwei Hinweismarker."
EventStart3Bushes.text,"Im Busch hörst du etwas herumkramen.\nPlatziere einen Durchsuchungsmarker, wie gezeigt."
EventStart4Conservatory.text,"Du siehst eine Tür, welche in das Treibhaus führt.\nVielleicht kannst du über diese Tür ins Haus hinein gelangen. Platziere einen Erkundungsmarker, wie gezeigt."
EventSuicide.text,"Du schließt die Augen versinkst tief in deiner eigenen Seele ({will}). Du kannst so viele Beweise ablegen um einen {clue} in einen {success} umzuwandeln."
EventSuicideFail.text,"Du hast deinen ganzen Mut zusammengenommen und dein Bestes gegeben, aber du hast es trotzdem nicht geschafft."
EventTestRitual.text,"Du konzentrierst dich auf deine Hinweise und öffnest deinen Geist, als du das Ritual beginnst. Drücke um das Puzzle mit ({lore}) zu beginnen.\nDu kannst Beweise ablegen, um einen zusätzlichen Versuch zu bekommen."
EventThePriestMoves.text,"Die Figur bewegt sich durch das Zimmer in die Küche. ""Hau ab"", sagt sie, während sie den Eingang zur Küche verbarrikadiert. Entferne den {ffg:UNIQUE_MONSTER_PRIEST_OF_DAGON} und platziere einen Barrikadenmarker, wie gezeigt."
EventThefall.text,"Du beruhigst dich und sammelst allen deinen Mut. Du fühlst, wie die Präsenz dich langsam verlässt, als du bemerkst, dass du fällst...in den Tod.\n\nDie Ermittlung ist abgeschlossen!\n\n{success}Vielen Dank fürs Spielen{success}"
EventThrallDied.text,"Die Kreatur fällt leblos zu Boden. Du fühlst dich leer an, aber du tust, was du tun musst."
EventThrallMoves.text,"Die Kreatur zieht sich in einen kleinen Schrank am Ende des Zimmers zurück. Entferne das Monster {ffg:MONSTER_THRALL} vom Spielbrett."
EventTurnOffSink.text,"Das Wasser läuft immer noch und der Stöpsel steckt im Becken. Jemand muss es vergessen haben. Du drehst das Wasser ab und fragst dich, wer es angelassen hat.\nErhalte einen Hinweismarker und lege danach diesen Durchsuchungsmarker ab."
EventWhereisRitual.text,"""Das ist nicht wichtig. Sie wollen ein Opfer darbringen, um das Ritual abzuschließen. Vielleicht wollen sie dich nur dahin locken. Das ist eine Falle. Traue ihnen nicht."""
EventWhyKill.text,"""Die Monster versuchen ein schreckliches Ritual abzuschließen. Jede Sekunden, die du verschwendest werden sie stärker, bis das Ritual sich seiner Vollendung nähert. Glaub mir, du willst nicht erleben, was passiert, wenn das Ritual vollendet ist."""
EventWifeDied.text,"Aber die Wahrheit kommt auf Kosten deiner Seele. Deine Frau. Deine wunderhübsche Frau. Deine arme Frau ist tot und du hast sie ermordet."
EventYardView.text,"Jetzt da der Hund weg ist, könnte es sicher sein sich im Garten umzusehen. Platziere einen Sichtungsmarker, wie gezeigt."
EventgainLuckyCigCase.text,"Als du dir die Regale anschaust, findest du etwas, dass dir nützlich erscheint.\nNimm den Gegenstand {ffg:COMMON_ITEM_LUCKY_CIGARETTE_CASE}, danach entferne diesen Marker."
PuzzleKeyCode.text,"Drücken, um das Puzzle zu beginnen ({observation})."
SpawnCultist.text,"Deine Befürchtungen werden bestätigt. Die Figur beschwor ein paar Diener um dein Reinigungsritual aufzuhalten. Platziere ein Monster, wie gezeigt."
SpawnCultist2.text,"Sie haben das Haus umstellt. Platziere das Monster, wie gezeigt."
SpawnCultist3.text,"Es kommen einfach mehr. Du musst dich beeilen. Platziere das Monster, wie gezeigt."
SpawnCultist4.text,"Es kommen einfach mehr. Platziere das Monster, wie gezeigt."
SpawnGhost.text,"Als dein Verstand mit der Wirklichkeit in Berührung kommt, verschwinden die Männer, die zu dir gekommen waren und lösen sich in Luft auf. Sie waren nichts anderes als Dämonen die versuchten dich aufzuhalten. Deine Erleichterung währt nur kurz, weil dir klar wird, dass der Geist, der sie verlassen hat, jetzt zu seiner vollen Kraft zurückgekehrt ist, während der Hund sich in seine wahre Form verwandelt hat. Platziere das Monster {ffg:MONSTER_GHOST}, wie gezeigt, entferne alle übrigen Kultisten und den Personenmarker des Hundes."
SpawnPriestKitchen.text,"Die Figur bewegt sich zur hinteren Ecke der Küche. Du kannst sie durch das Fenster hören. Sie hört sich an, als wenn um Hilfe ruft. Platziere das Monster {ffg:UNIQUE_MONSTER_PRIEST_OF_DAGON}, wie gezeigt."
SpawnSpawnHybrid.text,"Eine große, breitschultrige Kreatur erscheint aus einer der Türen. Sie gröhlt dir mit tiefer Stimme zu ""Verschwinde hier!"". Platziere das Monster {ffg:MONSTER_DEEP_ONE_HYBRID}, wie gezeigt."
SpawnSpawnPriest.text,"Eine Figur erscheint im Raum. ""Warum tust du das?"", fragt sie dich. Platziere das Monster {ffg:MONSTER_DEEP_ONE_HYBRID}, wie gezeigt."
SpawnSpawnThrall.text,"Eine Kreatur erscheint vor dir. ""Was tust du da?", fragt sie schreiend, als sie vor dir flüchtet. Platziere das Monster {ffg:MONSTER_THRALL}, wie gezeigt."
SpawnSpawnThrall2.text,"Die Kreatur zieht sich vor dir zurück. ""Geh einfach weg"". Platziere das Monster {ffg:MONSTER_THRALL}, wie gezeigt."
SpawnThrall.text,"Die Kreatur beginnt sich zu verbarrikadieren.\nPlatziere das Monster {ffg:MONSTER_THRALL} und einen Barrikadenmarker, wie gezeigt."
TokenAtticExplore.text,Eine Tür führt zum obersten Raum des Hauses.
TokenAtticNoKey.text,Die kleine Tür oberhalb der Treppe scheint verschlossen zu sein.
TokenAtticStairsKey.text,"Du glaubst, dass die Tür ins oberste Stockwerk des Hauses führt. Du kannst diesen Raum erkunden, wenn du den Besonderen Gegenstand {ffg:UNIQUE_ITEM_OLD_KEYS} bei dir hast."
TokenAxe.text,Ein großes Regal ist vollgestopft mit Werkzeug und Gartenutensilien.
TokenBadRitual.button1,{action} Reinigung durchführen
TokenBadRitual.text,Du bist nun bereit zum letzten Schritt der Reinigung des Hauses.
TokenBalconyDog.button1,{action} Hund ansprechen
TokenBalconyDog.text,Der Hund sitzt geduldig auf dem Balkon.
TokenBalconyDoor.button1,TokenBalconyDoor.button1
TokenBalconyExplore.text,"Du spürst, wie ein kalter Luftzug unterhalb der Tür hervor dringt."
TokenBalconySight.text,"Ein Balkon überragt das Anwesen. Du kannst dir einen Überblick verschaffen, wenn du dich auf dem Spielplanteil {ffg:TILE_BASEMENT_STORAGE_MAD23} befindest."
TokenBarricadeInfo.text,Die Kreatur hat sich im Schrank verbarrikadiert.
TokenBathroom.text,Du hörst das Geräusch von laufenden Wasser aus dem Badezimmer.
TokenBilliardsExplore.text,Subtile Musik dringt durch die Tür.
TokenBushes.text,Du hörst ein lautes Rascheln in den Büschen.
TokenBushes.button1,{action} Büsche durchsuchen
TokenConservatoryDoor.text,Eine verschlossene Tür hindert dich daran das Treibhaus zu betreten. Vielleicht ist der Schlüssel hier irgendwo in der Nähe zu finden.
TokenConservatoryKey.text,"Vielleicht kannst du über das Treibhaus ins Haus gelangen. Du kannst den Raum weiter erkunden, wenn du den Besonderen Gegenstand {ffg:UNIQUE_ITEM_BRASS_KEY} bei dir hast."
TokenConservatoryKey.button1,{action} Treibhaus erkunden
TokenDiningExplore.text,Aus der Tür dringt ein süßlicher Duft.
TokenDog.button1,{action} Hund streicheln
TokenDog.text,"Ein großer, schwarzer Hund sitzt ruhig da und beobachtet jeden deiner Schritte. Sein dickes Fell glänzt im Mondlicht."
TokenDogPriest.button1,Rede mit dem Hund
TokenDogPriest.text,Der Hund sitzt im Foyer und beobachtet jeden deiner Schritte.
TokenDogThrall.text,Der Hund sitzt im Flur und achtet auf jede deiner Bewegungen.
TokenExploreStairs.text,Die Tür führt tiefer ins Haus hinein.
TokenFindPipe.text,"In der Erde bemerkst du etwas, was als Stütze der Blumen genutzt wurde und tief im Boden steckt.\nVielleicht ist es nützlich."
TokenFindPipe.button1,{action} Blumenbeet durchsuchen
TokenHallPapers.text,Papier ist über den Boden verteilt.
TokenHandcuffs.text,Eine kleine Kiste befindet sich am Fuße des Bettes.
TokenKidBedSearch.text,Eine Kinderkommode befindet sich an der Wand.
TokenKitchenSearch.text,Einige Kochutensilien befinden sich auf dem Regal.
TokenLibrarySearch.text,Verschiedene Gegenstände sind auf den Regalen gestapelt.
TokenOpenHouse.text,"Eine Tür, die ins Haus führt."
TokenPainting.text,"Ein großes Gemälde hängt an der Wand hinter dem Billiardtisch."
TokenPerformRitual.button1,{action} Ritual durchführen
TokenPerformRitual.text,"Das ist das Ritual, was sie vor dir geheim halten wollten. Du kannst es zu Ende bringen."
TokenPhotoEv.text,"Auf dem Tisch liegen verschiedene, persönliche Gegenstände."
TokenPorch.text,"Die Veranda ist verschlossen, aber da ist ein Spalt, der groß genug wäre ihn aufzustemmen."
TokenPorchSearch.text,"Auf der Veranda siehst du eine große Kiste mit altem Zeug. Vielleicht befindet sich darin etwas Nützliches."
TokenRitual.text,Ein kleiner Bereich des Bodens wurde freigeräumt.
TokenSearchYard.text,"Der Garten führt um das Haus herum."
TokenSink.text,Das Waschbecken läuft über.
TokenSmallBedRoomExplore.text,Hinter der Tür hörst du ein leises Schluchzen.
TokenStackofPapers.text,"Ein Stapel Papier liegt auf der Ecke des Tisches. Vielleicht findest du heraus, wer hier wohnt."
TokenStairsAtticKey.text,"Du glaubst, dass die Tür in das oberste Stockwerk des Hauses führt. Du kannst den Raum durchsuchen, wenn du den Besonderen Gegenstand {ffg:UNIQUE_ITEM_OLD_KEYS} bei dir hast."
Tokengun.text,Die Bar ist mit Scotch und Whiskey gut ausgestattet.
TokenmasterBedExplore.text,"Am Ende des Flurs, führt eine Tür in ein Zimmer."
TokenoldKeys.text,Ein kleines Fenster teilt die Zimmer.
