.,Italian
EventTimer22B.text,<b>L'orologio batte le 11</b>\n\n<i>Le luci si spengono momentaneamente mentre un'esplosione di colpi d'arma da fuoco echeggia nella casa.</i>\n\nOgni investigatore in una casella Stanza da Letto, subisce 2 Danni.
EventTimer22B.button1,{qst:CONTINUE}
EventTimer2NoClue.text,<b>L'orologio batte le 11</b>\n\nOgni investigatore subisce 1 Orrore.
EventTimer2NoClue.button1,{qst:CONTINUE}
EventTimer41A.text,<b>L'orologio batte le 1</b>\n\n<i>Il terreno si scuote violentemente...poi tutto torna tranquillo.</i>
EventTimer41A.button1,{qst:CONTINUE}
EventTimer41B.text,<b>L'orologio batte le 1</b>\n\n<i>La vecchia casa geme e scricchiola.</i>\n\nObiettivo: Impedisci al maniaco di recuperare dei campioni.
EventTimer41B.button1,{qst:CONTINUE}
EventTimer41BShoggoth.text,<b>L'orologio batte le 1</b>\n\n<i>La vecchia casa geme e scricchiola.</i>
EventTimer41BShoggoth.button1,{qst:CONTINUE}
EventTimer41CClue.text,<b>L'orologio batte le 1</b>\n\n<i>La serratura della porta anteriore si chiude con un forte clic.</i>
EventTimer41CClue.button1,{qst:CONTINUE}
EventTimer41C.text,<b>L'orologio batte le 1</b>\n\n<i>La serratura della porta anteriore si chiude con un forte clic.</i>\n\nPiazza 1 Segnalino Esplorazione come mostrato.\nObiettivo: Fuggi attraverso l'Atrio.
EventTimer41C.button1,{qst:CONTINUE}
EventEndLose1A.text,"<b>L'orologio batte le 2</b>\n\n<i>Come l'orologio batte le 2 il terreno comincia a tremare.\nQualcosa di antico e situato nelle profondità della casa, ne affonda rapidamente le fondamenta nel terreno.  Le risposte non contano più in quanto gli investigatori e i mostri ora lottano per le loro vite.\nNel profondo del cumulo di macerie e corpi, un posseduto Walter Lynch esala debolmente il suo ultimo respiro.</i>"
EventEndLose1A.button1,{qst:THEEND}
EventEndWinTime1B.text,<b>L'orologio batte le 2</b>\n\n<i>Non appena l'orologio batte le 2 il terreno inizia a tremare.\nQualcosa di antico e situato nelle profondità della casa, ne affonda rapidamente le fondamenta nel terreno.  Le risposte non contano più in quanto gli investigatori e i mostri ora lottano per le loro vite.\nLo shoggoth cade a terra in una massa contorta di tentacoli.  Qualunque pazzia Walter avesse contratto nel suo viaggio, ora è distrutta per sempre.</i>
EventEndWinTime1B.button1,{qst:THEEND}
EventEndLoseTime1C.text,<b>L'orologio batte le 2</b>\n\n<i>Non appena l'orologio batte le 2 il terreno inizia a tremare.\nQualcosa di antico e situato nelle profondità della casa, ne affonda rapidamente le fondamenta nel terreno.  Le risposte non contano più in quanto gli investigatori e i mostri ora lottano per le loro vite...</i>
EventEndLoseTime1C.button1,{qst:THEEND}
EventDarkRoom.text,"<i>Apri la porta e non vedi nulla attraverso il buio pesto.  Raggiungi l'interruttore della luce, ma non succede nulla.</i>\n\nPosiziona un segnalino oscurità in ogni casella della stanza appena esplorata."
EventDarkRoom.button1,{qst:CONTINUE}
EventDarkRoomGuest.text,"<i>Apri la porta e non vedi nulla attraverso il buio pesto.  Raggiungi l'interruttore della luce, ma non succede nulla.</i>\n\nPosiziona un segnalino oscurità nella Stanza da Letto degli Ospiti."
EventDarkRoomGuest.button1,{qst:CONTINUE}
EventMoveIn.text,Puoi muovere di una casella nell'area appena esplorata.
EventMoveIn.button1,{qst:CONTINUE}
TokenFoyer.text,<i>Un piedistallo è posizionato contro al muro di questo pianerottolo.</i>
TokenFoyer.button1,{qst:ACTIONSEARCH}
TokenDiningDoor.text,<i>Questa porta conduce alla Cucina.</i>
TokenDiningDoor.button1,{qst:ACTIONEXPLORE}
TokenBasementStairDoor.text,<i>Questa porta conduce giù nello Scantinato.</i>
TokenBasementStairDoor.button1,{qst:ACTIONEXPLORE}
TokenHallDoor.text,<i>Questa porta conduce nel Corridoio.</i>
TokenHallDoor.button1,{qst:ACTIONEXPLORE}
TokenLabDoor.text,<i>Questa porta conduce al Laboratorio e attraverso il Giardino.</i>
TokenLabDoor.button1,{qst:ACTIONEXPLORE}
TokenEntryDoor.text,<i>Questa porta conduce al Giardino.</i>
TokenEntryDoor.button1,{qst:ACTIONEXPLORE}
TokenDining.text,<i>Diversi oggetti sono sparsi sul tavolo in maniera disordinata.</i>
TokenDining.button1,{qst:ACTIONSEARCH}
TokenKitchenStorage.text,<i>Varie cianfrusaglie si trovano tra pentole e padelle.</i>
TokenKitchenStorage.button1,{qst:ACTIONSEARCH}
TokenLab.text,<i>Gran parte dell'attrezzatura qui è al di là delle tue conoscenze.</i>
TokenLab.button1,{qst:ACTIONSEARCH}
TokenSearchHall2.text,<i>Una credenza si erge contro il muro.</i>
TokenSearchHall2.button1,{qst:ACTIONSEARCH}
TokenSearchHall4.text,<i>Un vecchio baule di legno giace nell'angolo della stanza.</i>
TokenSearchHall4.button1,{qst:ACTIONSEARCH}
TokenBasementStoreSearch.text,<i>Si intravedono alcuni strumenti tra i barattoli di vernice sparsi.</i>
TokenBasementStoreSearch.button1,{qst:ACTIONSEARCH}
EventPowerFailure.text,<i>Le luci di questa stanza rifiutano di accendersi</i>\n\nPiazza un segnalino oscurità nella Sala Operatoria.
EventPowerFailure.button1,{qst:CONTINUE}
EventPowerRestore.text,Rimuovi tutti i segnalini oscurità nella Sala Operatoria.
EventPowerRestore.button1,{qst:CONTINUE}
SpawnTimer1Zombie3A.text,<b>L'orologio batte le 10</b>\n\n<i>Una figura infuocata scende dal corridoio verso la camera da letto.</i>\n\nPosiziona 1 zombi nella casella indicata, con un segnalino fuoco su di esso.  La prima volta in cui gli viene inflitto danno posiziona il segnalino fuoco nella sua casella.
SpawnTimer1Zombie3A.button1,{qst:CONTINUE}
SpawnTimer1Zombie3AFoyer.text,<b>L'orologio batte le 10</b>\n\n<i>Una figura infuocata scende giù dal corridoio.</i>\n\nPosiziona 1 zombi nella casella indicata, con un segnalino fuoco su di esso.  La prima volta in cui gli viene inflitto danno posiziona il segnalino fuoco nella sua casella.
SpawnTimer1Zombie3AFoyer.button1,{qst:CONTINUE}
SpawnTimer1Zombie3B.text,<b>L'orologio batte le 10</b>\n\n<i>I resti senza pelle di un uomo si lanciano attraverso la porta del Laboratorio.</i>\n\nPiazza uno zombie nella casella indicata.  Ogni investigatore subisce 1 Orrore.
SpawnTimer1Zombie3B.button1,{qst:CONTINUE}
SpawnTimer3Zombie2A.text,"<b>L'orologio batte le 12</b>\n\n<i>Un cadavere vivente si alza dal suo luogo di riposo.\nA giudicare dalle foto che hai visto, il cadavere è Edith Lynch, anche se è morta da settimane.</i>\n\nPiazza 1 zombie nella casella indicata."
SpawnTimer3Zombie2A.button1,{qst:CONTINUE}
SpawnTimer3Zombie2B.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2B.button1,{qst:CONTINUE}
SpawnTimer3Zombie2AFoyer.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2AFoyer.button1,{qst:CONTINUE}
SpawnTimer3Zombie2BLab.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2BLab.button1,{qst:CONTINUE}
SpawnTimer3Zombie2BFoyer.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2BFoyer.button1,{qst:CONTINUE}
CustomMonsterEdith.monstername,Edith Lynch
SpawnWalter2.text,"Smettila di interferire" urla un folle irrompendo nella stanza. Piazza un maniaco nella stessa casella di {rnd:hero}. Questo è Walter Lynch.\n\nObiettivo: Sconfiggi Walter Lynch.
SpawnWalter2.button1,{qst:CONTINUE}
SpawnWalter3.text,{qst:SpawnWalter2.text}
SpawnWalter3.button1,{qst:CONTINUE}
SpawnWalter4.text,{qst:SpawnWalter2.text}
SpawnWalter4.button1,{qst:CONTINUE}
SpawnWalter5.text,{qst:SpawnWalter2.text}
SpawnWalter5.button1,{qst:CONTINUE}
EventEndWin1A2.text,"<i>Mentre Walter crolla a terra, gli investigatori tirano un sospiro di sollievo. Quell'uomo si è spinto troppo oltre e la sua mente non è stata in grado di resistere al controllo dell'essere che cercava disperatamente un modo per risorgere in questa realtà.  Il tuo datore di lavoro non sarà felice, ma almeno hai eliminato il ricettacolo dello spirito maligno in questo mondo, salvando non solo la tua vita, ma anche la tua anima...</i>"
EventEndWin1A2.button1,{qst:THEEND}
EventEndWin1A3.text,{qst:EventEndWin1A2.text}
EventEndWin1A3.button1,{qst:THEEND}
EventEndWin1A4.text,{qst:EventEndWin1A2.text}
EventEndWin1A4.button1,{qst:THEEND}
EventEndWin1A5.text,{qst:EventEndWin1A2.text}
EventEndWin1A5.button1,{qst:THEEND}
CustomMonsterWalter2.monstername,{qst:WALTERLYNCH}
CustomMonsterWalter3.monstername,{qst:WALTERLYNCH}
CustomMonsterWalter4.monstername,{qst:WALTERLYNCH}
CustomMonsterWalter5.monstername,{qst:WALTERLYNCH}
CustomMonsterShoggoth.monstername,Shoggoth
ActivationShoggoth1.ability,Lo Shoggoth attacca l'investigatore nel suo spazio o uno spazio adiacente con il più basso valore di {observation}.
ActivationShoggoth1.master,"Con velocità allarmante, la creatura cerca di sopraffarti con la sua enorme mole ({agility}; 2). Se passi il test, eviti per un pelo di essere schiacciato da un'ondata di gel amorfo brulicante di occhi; subisci 1 Orrore a faccia in giù. Se fallisci, la creatura ti blocca al pavimento sotto il suo tremendo peso, mentre numerose fauci divorano la tua carne; subisci 2 Danni e diventi immobilizzato."
ActivationShoggoth1.movebutton,{qst:UNABLETOATTACK}
ActivationShoggoth2.ability,Lo Shoggoth attacca l'investigatore che ha subito il maggior numero di Danni e che si trova nel suo spazio o in uno spazio adiacente.
ActivationShoggoth2.master,"La creatura si scaglia contro di te, con pezzi di carne e melma che schizzano il tuo viso e il tuo corpo ({will}; 2). Se superi il test, metti da parte le tue paure e ti lanci fuori dal percorso della creatura; gira 2 Danni a faccia in su. Se fallisci, l'odore di quella robaccia ha il sopravvento su di te e la creatura ti si schianta contro; subisci 2 Danni, diventa Frastornato, e allontanati di una casella dallo Shoggoth."
ActivationShoggoth2.movebutton,{qst:UNABLETOATTACK}
ActivationShoggoth3.ability,Lo Shoggoth attacca ogni investigatore nella sua casella o in una casella adiacente.
ActivationShoggoth3.master,"Una moltitudine di tentacoli gelatinosi si protende all'infuori, afferrando qualsiasi cosa e trascinandola verso le orride fauci della creatura ({strength}; 2). Se hai successo, ti liberi dalla sua viscida presa. Se fallisci, le sudice appendici ti trascinano scalciante ed urlante verso la creatura; subisci 1 Orrore a faccia in giù, muoviti di uno spazio verso lo Shoggoth, e diventa Immobilizzato."
ActivationShoggoth3.movebutton,{qst:UNABLETOATTACK}
TokenBasementStairs.text,<i>Noti qualcosa nelle ombre.</i>
TokenBasementStairs.button1,{qst:ACTIONSEARCH}
TokenEntry.text,<i>C'è qualcosa sotto la sedia che attira la tua attenzione.</i>
TokenEntry.button1,{qst:ACTIONSEARCH}
EventEndLose1C.text,<i>Il mucchio di cadaveri puzza di decomposizione.  La pila è abbastanza alta da placare il mostro... almeno per il momento.  Ulteriori visitatori potranno sempre essere invitati, se ve ne fosse necessità.</i>
EventEndLose1C.button1,{qst:THEEND}
EventEndLoseEliminated.text,<i>Gli investigatori rimanenti riescono a malapena a fuggire all'inevitabile destino.  Sfortunatamente il male ha superato questo giorno e le cicatrici che vi sono state inflitte, sia fisiche che mentali, non guariranno facilmente...</i>
EventEndLoseEliminated.button1,{qst:THEEND}
TokenFrontDoor.textUn investigatore può usare un'azione per fuggire dalla villa.
TokenFrontDoor.button1,{action} Fuggi
EventEscape.text,Tutti gli investigatori sono fuggiti dalla villa?
EventEscape.button1,{qst:YES}
EventEscape.button2,{qst:NO}
EventEndWin3C.text,"<i>Dopo aver affrontato un pazzo assassino e un esercito di non morti, decidi di tornare dal tuo datore di lavoro a mani vuote.  Come ulteriore precauzione, bruci la casa prima di andartene, sperando che qualsiasi cosa tu abbia fermato oggi resti sepolta tra le macerie di questo luogo da incubo...</i>"
EventEndWin3C.button1,{qst:THEEND}
Spawn1CZombie1.text,Piazza 1 zombie nella casella indicata.
Spawn1CZombie1.button1,{qst:CONTINUE}
Spawn1CZombie2.text,{qst:Spawn1CZombie1.text}
Spawn1CZombie2.button1,{qst:CONTINUE}
Spawn1CZombie3.text,{qst:Spawn1CZombie1.text}
Spawn1CZombie3.button1,{qst:CONTINUE}
Spawn1CZombie4.text,{qst:Spawn1CZombie1.text}
Spawn1CZombie4.button1,{qst:CONTINUE}
