.,French
EventEndLoseTime1C.text,<b>La pendule sonne 2h</b>\n\n<i>Alors que la pendule sonne 2h, le sol se met à trembler.\nQuelque chose d'ancien et de profondément enfoui sous la maison entraîne ses fondations de dans le sol.  Peu importe les réponses, les investigateurs et les monstres se livrent une bataille à mort.</i>
EventEndLoseTime1C.button1,{qst:THEEND}
EventDarkRoom.text,"<i>Vous ouvrez la porte et ne voyez rien dans cette obscurité primitive.  Vous atteignez l'interrupteur, mais rien ne se passe.</i>\n\nPlacez 1 jeton Obscurité sur chaque case de la zone explorée."
EventDarkRoom.button1,{qst:Continuer}
EventDarkRoomGuest.text,"<i>Vous ouvrez la porte et ne voyez rien dans cette obscurité primitive.  Vous atteignez l'interrupteur, mais rien ne se passe.</i>\n\nPlacez 1 jeton Obscurité dans la Chambre d'Ami."
EventDarkRoomGuest.button1,{qst:Continuer}
EventMoveIn.text,Vous pouvez vous déplacer d'1 case dans la zone explorée.
EventMoveIn.button1,{qst:Continuer}
TokenFoyer.text,<i>Une petite commode est accessible au même niveau, contre le mur d'en face.</i>
TokenFoyer.button1,{qst:ACTIONSEARCH}
TokenDiningDoor.text,<i>Cette porte mène à la cuisine.</i>
TokenDiningDoor.button1,{qst:ACTIONEXPLORE}
TokenBasementStairDoor.text,<i>Cette porte conduit à la cave.</i>
TokenBasementStairDoor.button1,{qst:ACTIONEXPLORE}
TokenHallDoor.text,<i>Cette porte donne sur le couloir.</i>
TokenHallDoor.button1,{qst:ACTIONEXPLORE}
TokenLabDoor.text,<i>Cette porte mène au laboratoire et plus loin vers le jardin.</i>
TokenLabDoor.button1,{qst:ACTIONEXPLORE}
TokenEntryDoor.text,<i>Cette porte donne sur le jardin.</i>
TokenEntryDoor.button1,{qst:ACTIONEXPLORE}
TokenDining.text,<i>Un assortiment d'objets est dispersé sur la table.</i>
TokenDining.button1,{qst:ACTIONSEARCH}
TokenKitchenStorage.text,<i>De la camelote variée repose entre les casseroles et les pots.</i>
TokenKitchenStorage.button1,{qst:ACTIONSEARCH}
TokenLab.text,<i>La plupart du matériel ici vous dépasse.</i>
TokenLab.button1,{qst:ACTIONSEARCH}
TokenSearchHall2.text,<i>Un buffet est disposé contre le mur.</i>
TokenSearchHall2.button1,{qst:ACTIONSEARCH}
TokenSearchHall4.text,<i>Une vieille commode occupe le coin.</i>
TokenSearchHall4.button1,{qst:ACTIONSEARCH}
TokenBasementStoreSearch.text,<i>On distingue quelques outils au milieu des pots de peinture dispersés.</i>
TokenBasementStoreSearch.button1,{qst:ACTIONSEARCH}
EventPowerFailure.text,<i>Les lumières de cette pièce refusent de s'allumer</i>\n\nPlacez 1 jeton Obscurité dans la Salle d'Opération.
EventPowerFailure.button1,{qst:Continuer}
EventPowerRestore.text,Retirez tout les jetons Obscurité de la Salle d'Opération.
EventPowerRestore.button1,{qst:Continuer}
SpawnTimer1Zombie3A.text,<b>La pendule sonne 10h</b>\n\n<i>Une féroce silhouette déboule dans le couloir vers la chambre.</i>\n\nPlacez 1 Zombie sur l'emplacement indiqué avec 1 jeton Feu sur base. Quand il prend des dégâts le feu se répand sur sa case.
SpawnTimer1Zombie3A.button1,{qst:Continuer}
SpawnTimer1Zombie3AFoyer.text,<b>Clock Strikes 10</b>\n\n<i>Une féroce silhouette déboule dans le couloir.</i>\n\nPlacez 1 Zombie sur l'emplacement indiqué avec 1 jeton Feu sur base. Quand il prend des dégâts le feu se répand sur sa case.
SpawnTimer1Zombie3AFoyer.button1,{qst:Continuer}
SpawnTimer1Zombie3B.text,<b>La pendule sonne 10h</b>\n\n<i>Les restes écorchés d'un homme se jette par la porte ouverte du laboratoire.</i>\n\nPlacez 1 Zombie sur l'emplacement indiqué.  Chaque investigateur subit 1 Horreur.
SpawnTimer1Zombie3B.button1,{qst:Continuer}
SpawnTimer3Zombie2A.text,"<b>La pendule sonne 12h</b>\n\n<i>Un mort-vivant se relève de sa tombe.\nA en juger la photo que vous avez vue, le corps est celui d'Edith Lynch, quoique décédée depuis des semaines.</i>\n\nPlacez 1 Zombie sur l'emplacement indiqué."
SpawnTimer3Zombie2A.button1,{qst:Continuer}
SpawnTimer3Zombie2B.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2B.button1,{qst:Continuer}
SpawnTimer3Zombie2AFoyer.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2AFoyer.button1,{qst:Continuer}
SpawnTimer3Zombie2BLab.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2BLab.button1,{qst:Continuer}
SpawnTimer3Zombie2BFoyer.text,{qst:SpawnTimer3Zombie2A.text}
SpawnTimer3Zombie2BFoyer.button1,{qst:Continuer}
CustomMonsterEdith.monstername,Edith Lynch
SpawnWalter2.text,Placez 1 Maniaque sur la même case que {rnd:hero}. Il s'agit de Walter Lynch.\n\nObjectif: Vaincre Walter Lynch.
SpawnWalter2.button1,{qst:Continuer}
SpawnWalter3.text,{qst:SpawnWalter2.text}
SpawnWalter3.button1,{qst:Continuer}
SpawnWalter4.text,{qst:SpawnWalter2.text}
SpawnWalter4.button1,{qst:Continuer}
SpawnWalter5.text,{qst:SpawnWalter2.text}
SpawnWalter5.button1,{qst:Continuer}
EventEndWin1A2.text,"<i>Alors qu'il s'écroule sur le sol, les investigateurs ont un moment de soulagement.  Votre employeur ne sera pas très content, mais au moins vous aurez supprimé le lien de l'esprit démoniaque avec notre monde.</i>"
EventEndWin1A2.button1,{qst:THEEND}
EventEndWin1A3.text,{qst:EventEndWin1A2.text}
EventEndWin1A3.button1,{qst:THEEND}
EventEndWin1A4.text,{qst:EventEndWin1A2.text}
EventEndWin1A4.button1,{qst:THEEND}
EventEndWin1A5.text,{qst:EventEndWin1A2.text}
EventEndWin1A5.button1,{qst:THEEND}
CustomMonsterWalter2.monstername,{qst:WALTERLYNCH}
CustomMonsterWalter3.monstername,{qst:WALTERLYNCH}
CustomMonsterWalter4.monstername,{qst:WALTERLYNCH}
CustomMonsterWalter5.monstername,{qst:WALTERLYNCH}
CustomMonsterShoggoth.monstername,Shoggoth
ActivationShoggoth1.ability,Le Shoggoth attaque l'investigateur sur sa case ou une case adjacente ayant la plus faible {observation}.
ActivationShoggoth1.master,"Dans une vitesse fulgurante, la créature essaie de vous écraser de tout son poids ({agility}; 2). Si vous réussissez, vous manquez de justesse de vous faire écraser par une vague de gelée amorphe grouillante d'yeux; subissez 1 Horreur face cachée. Si vous échouez, la créature vous cloue au sol de son énorme masse, d'innombrables mâchoires vous rongeant la chair; subissez 2 Dégâts et devenez Entravé."
ActivationShoggoth1.movebutton,{qst:UNABLETOATTACK}
ActivationShoggoth2.ability,Le Shoggoth attaque l'investigateur sur sa case ou sur une case adjacente ayant subi le plus de dégâts.
ActivationShoggoth2.master,"La créature se tortille vers vous, vous éclaboussant de morceaux de chair et de boue sur le visage et le corps ({will}; 2). Si vous réussissez, vous ravalez votre peur et vous jetez hors du chemin de la créature; retournez 2 Dégâts face visible. Si vous échouez, l'odeur vous écœure et la chose projette sa masse sur vous; subissez 2 Dégâts, devenez Étourdi, et écartez-vous d'1 case du Shoggoth."
ActivationShoggoth2.movebutton,{qst:UNABLETOATTACK}
ActivationShoggoth3.ability,Le Shoggoth chaque investigateur sur sa case ou sur une case adjacente.
ActivationShoggoth3.master,"Une multitude de tentacules gélatineuses fouettent les abords de la créature, essayant d'attraper ce qu'elles peuvent pour l'amener vers son ignoble gueule ({strength}; 2). Si vous réussissez, vous parvenez à lutter suffisamment pour vous défaire de cette emprise visqueuse. Si vous échouez, les appendices rampants vous agrippent alors que vous vous débattez et hurlez vers la créature; subissez 1 Horreur face cachée, déplacez-vous d'1 case vers le Shoggoth, et devenez Entravé."
ActivationShoggoth3.movebutton,{qst:UNABLETOATTACK}
TokenBasementStairs.text,<i>Vous remarquez quelque chose dans l'ombre.</i>
TokenBasementStairs.button1,{qst:ACTIONSEARCH}
TokenEntry.text,<i>Il y a quelque chose sous le fauteuil.</i>
TokenEntry.button1,{qst:ACTIONSEARCH}
EventEndLose1C.text,<i>La pile de cadavre empeste la décomposition.  Le tas est suffisamment gros pour assez satisfaire le virus dans l'immédiat. D'autres invitations viendront pour ramener des gens quand le besoin se fera sentir.</i>
EventEndLose1C.button1,{qst:THEEND}
EventEndLoseEliminated.text,<i>Les investigateurs survivants échappent de justesse à une mort certaine. Malheureusement le mal a survécu et les cicatrices infligées ne guériront pas facilement.</i>
EventEndLoseEliminated.button1,{qst:THEEND}
TokenFrontDoor.text,Un investigateur peut utiliser 1 Action pour s'échapper de la demeure.
TokenFrontDoor.button1,{action} Fuir
EventEscape.text,Les investigateurs ont-ils tous fui de la demeure?
EventEscape.button1,{qst:YES}
EventEscape.button2,{qst:NO}
EventEndWin3C.text,"<i>Face à un tueur sadique et une armée de morts, vous décidez de revenir les mains vides vers votre employeur.  Par mesure de sécurité, vous brûlez la maison derrière vous.</i>"
EventEndWin3C.button1,{qst:THEEND}
Spawn1CZombie1.text,Placez 1 Zombie sur l'emplacement indiqué.
Spawn1CZombie1.button1,{qst:Continuer}
Spawn1CZombie2.text,{qst:Spawn1CZombie1.text}
Spawn1CZombie2.button1,{qst:Continuer}
Spawn1CZombie3.text,{qst:Spawn1CZombie1.text}
Spawn1CZombie3.button1,{qst:Continuer}
Spawn1CZombie4.text,{qst:Spawn1CZombie1.text}
Spawn1CZombie4.button1,{qst:Continuer}
