.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese,Czech
EventTimer22A.text,<b>Clock Strikes 11</b>\n\n<i>A madman picks up his axe and runs down the hall.</i>\n\nThe maniac moves up to 2 spaces towards the nearest investigator.,,,,,,,,,
EventTimer22A.button1,Continue,,,,,,,,,
EventTimer22B.text,<b>Clock Strikes 11</b>\n\n<i>The lights momentarily go out as an explosion of gunfire echoes down the hall.</i>\n\nEach investigator in a bedroom space is dealt 2 damage.,,,,,,,,,
EventTimer22B.button1,Continue,,,,,,,,,
EventTimer2NoClue.text,<b>Clock Strikes 11</b>\n\nEach investifator takes 1 horror.,,,,,,,,,
EventTimer2NoClue.button1,Continue,,,,,,,,,
EventPreTimer3.text,,,,,,,,,,
EventPreTimer3.button1,Continue,,,,,,,,,
EventTimer3.text,,,,,,,,,,
EventTimer3.button1,Continue,,,,,,,,,
EventPreTimer4.text,,,,,,,,,,
EventPreTimer4.button1,Continue,,,,,,,,,
EventTimer4.text,,,,,,,,,,
EventTimer4.button1,Continue,,,,,,,,,
EventTimer41A.text,<b>Clock Strikes 1</b>\n\n<i>The ground shakes violently.</i>,,,,,,,,,
EventTimer41A.button1,Continue,,,,,,,,,
EventTimer41B.text,<b>Clock Strikes 1</b>\n\n<i>The old house groans.</i>\n\nObjective: Prevent maniacs from taking samples.,,,,,,,,,
EventTimer41B.button1,Continue,,,,,,,,,
EventTimer41BShoggoth.text,<b>Clock Strikes 1</b>\n\n<i>The old house groans.</i>,,,,,,,,,
EventTimer41BShoggoth.button1,Continue,,,,,,,,,
EventUnlockBasement.text,,,,,,,,,,
EventUnlockBasement.button1,Continue,,,,,,,,,
EventUnlockGarden.text,,,,,,,,,,
EventUnlockGarden.button1,Continue,,,,,,,,,
EventTimer41CClue.text,<b>Clock Strikes 1</b>\n\n<i>The front door locks wih a loud click.</i>,,,,,,,,,
EventTimer41CClue.button1,Continue,,,,,,,,,
EventTimer41C.text,<b>Clock Strikes 1</b>\n\n<i>The front door locks wih a loud click.</i>\n\nPlace 1 Explore token as show.\nObjective: Escape through the foyer.,,,,,,,,,
EventTimer41C.button1,Continue,,,,,,,,,
EventPreTimer51A.text,,,,,,,,,,
EventPreTimer51A.button1,Continue,,,,,,,,,
EventEndLose1A.text,"<b>Clock Strikes 2</b>\n\n<i>As the clock strikes 2 the ground begins to shake.\nSomething ancient and deep beneath the house rapidly pulls the foundation down into the ground.  The answers no longer matter as the investigators and monsters struggle for their lives.\nDeep in the pile of rubble and bodies, a possessed Walter Lynch cackles weakly with his last breath.</i>.",,,,,,,,,
EventEndLose1A.button1,The End,,,,,,,,,
EventPreTimer5.text,,,,,,,,,,
EventPreTimer5.button1,Continue,,,,,,,,,
EventEndWinTime1B.text,<b>Clock Strikes 2</b>\n\n<i>As the clock strikes 2 the ground begins to shake.\nSomething ancient and deep beneath the house rapidly pulls the foundation down into the ground.  The answers no longer matter as the investigators and monsters struggle for their lives.\nThe shoggoth falls to the ground in a writhing mass of tentacles.  Whatever madness Walter contracted on his journey is destroyed forever.</i>.,,,,,,,,,
EventEndWinTime1B.button1,The End,,,,,,,,,
EventEndLoseTime1C.text,<b>Clock Strikes 2</b>\n\n<i>As the clock strikes 2 the ground begins to shake.\nSomething ancient and deep beneath the house rapidly pulls the foundation down into the ground.  The answers no longer matter as the investigators and monsters struggle for their lives.</i>.,,,,,,,,,
EventEndLoseTime1C.button1,The End,,,,,,,,,
EventDarkRoom.text,"<i>You open the door and see nothing through the pitch blackness.  You reach for the light switch, but nothing happens.</i>\n\nPlace a darkness token in each space of the newly explored room.",,,,,,,,,
EventDarkRoom.button1,Continue,,,,,,,,,
EventDarkRoomGuest.text,"<i>You open the door and see nothing through the pitch blackness.  You reach for the light switch, but nothing happens.</i>\n\nPlace a darkness token in the Guest Bedroom.",,,,,,,,,
EventDarkRoomGuest.button1,Continue,,,,,,,,,
EventMoveIn.text,You may move one space in to the explored area.,,,,,,,,,
EventMoveIn.button1,Continue,,,,,,,,,
TokenFoyer.text,<i>A hall stand is against the wall on this landing.</i>,,,,,,,,,
TokenFoyer.button1,{action} Search,,,,,,,,,
EventFoyerTokenRemove.text,,,,,,,,,,
EventFoyerTokenRemove.button1,Continue,,,,,,,,,
TokenDiningDoor.text,<i>This door leads to the kitchen.</i>,,,,,,,,,
TokenDiningDoor.button1,{action} Explore,,,,,,,,,
TokenBasementStairDoor.text,<i>This door leads down to the basement.</i>,,,,,,,,,
TokenBasementStairDoor.button1,{action} Explore,,,,,,,,,
TokenHallDoor.text,<i>This door leads to the hallway.</i>,,,,,,,,,
TokenHallDoor.button1,{action} Explore,,,,,,,,,
TokenLabDoor.text,<i>This door leads to the laboritory and through to the garden.</i>,,,,,,,,,
TokenLabDoor.button1,{action} Explore,,,,,,,,,
TokenEntryDoor.text,<i>This door leads to the garden.</i>,,,,,,,,,
TokenEntryDoor.button1,{action} Explore,,,,,,,,,
TokenDining.text,<i>Assorted Items are scattered across the table.</i>,,,,,,,,,
TokenDining.button1,{action} Search,,,,,,,,,
EventDiningTokenRemove.text,,,,,,,,,,
EventDiningTokenRemove.button1,Continue,,,,,,,,,
TokenKitchenStorage.text,<i>Various junk lies among the pots and pans.</i>,,,,,,,,,
TokenKitchenStorage.button1,{action} Search,,,,,,,,,
EventKitchenStorageTokenRemove.text,,,,,,,,,,
EventKitchenStorageTokenRemove.button1,Continue,,,,,,,,,
TokenLab.text,<i>Much of the equipment here is beyond your knowledge.</i>,,,,,,,,,
TokenLab.button1,{action} Search,,,,,,,,,
EventLabTokenRemove.text,,,,,,,,,,
EventLabTokenRemove.button1,Continue,,,,,,,,,
TokenSearchHall2.text,<i>A cupboard stands against the wall.</i>,,,,,,,,,
TokenSearchHall2.button1,{action} Search,,,,,,,,,
EventHall2TokenRemove.text,,,,,,,,,,
EventHall2TokenRemove.button1,Continue,,,,,,,,,
TokenSearchHall4.text,<i>An old chest lies in the corner.</i>,,,,,,,,,
TokenSearchHall4.button1,{action} Search,,,,,,,,,
EventHall4TokenRemove.text,,,,,,,,,,
EventHall4TokenRemove.button1,Continue,,,,,,,,,
TokenBasementStoreSearch.text,<i>Some tools can be seen among the scattered paint cans.</i>,,,,,,,,,
TokenBasementStoreSearch.button1,{action} Search,,,,,,,,,
EventBasementStoreTokenRemove.text,,,,,,,,,,
EventBasementStoreTokenRemove.button1,Continue,,,,,,,,,
PuzzleFrontDoor.text,,,,,,,,,,
PuzzleFrontDoor.button1,Complete,,,,,,,,,
EventPowerFailure.text,<i>The lights in this room refuse to turn on</i>\n\nPlace a darkness marker in Operating Room.,,,,,,,,,
EventPowerFailure.button1,Continue,,,,,,,,,
PuzzlePowerFailure.text,,,,,,,,,,
PuzzlePowerFailure.button1,Complete,,,,,,,,,
EventPowerRestore.text,Remove any darkness markers in the Operating Room.,,,,,,,,,
EventPowerRestore.button1,Continue,,,,,,,,,
SpawnTimer1Zombie3A.text,<b>Clock Strikes 10</b>\n\n<i>A fiery figure bolts down the hallway towards the bedroom.</i>\n\nPlace 1 zombie in the indicated space with a fire token on him.  When he is dealt damage place the fire token in his space.,,,,,,,,,
SpawnTimer1Zombie3A.button1,Continue,,,,,,,,,
SpawnTimer1Zombie3AFoyer.text,<b>Clock Strikes 10</b>\n\n<i>A fiery figure bolts down the hallway.</i>\n\nPlace 1 zombie in the indicated space with a fire token on him.  When he is dealt damage place the fire token in his space.,,,,,,,,,
SpawnTimer1Zombie3AFoyer.button1,Continue,,,,,,,,,
SpawnTimer1Zombie3B.text,<b>Clock Strikes 10</b>\n\n<i>The skinless remains of a man throws open the door of the labratory.</i>\n\nPlace a zombie in the indicated space.  Each investigator then takes 1 horror.,,,,,,,,,
SpawnTimer1Zombie3B.button1,Continue,,,,,,,,,
SpawnTimer3Zombie2A.text,"<b>Clock Strikes 12</b>\n\n<i>A living corpse rises up from its resting place.\nJudging from the pictures you've seen, the corpse is Edith Lynch, albeit dead for weeks.</i>\n\nPlace 1 zombie in the indicated space.",,,,,,,,,
SpawnTimer3Zombie2A.button1,Continue,,,,,,,,,
SpawnTimer3Zombie2B.text,"<b>Clock Strikes 12</b>\n\n<i>A living corpse rises up from its resting place.\nJudging from the pictures you've seen, the corpse is Edith Lynch, albeit dead for weeks.</i>\n\nPlace 1 zombie in the indicated space.",,,,,,,,,
SpawnTimer3Zombie2B.button1,Continue,,,,,,,,,
SpawnTimer3Zombie2AFoyer.text,"<b>Clock Strikes 12</b>\n\n<i>A living corpse rises up from its resting place.\nJudging from the pictures you've seen, the corpse is Edith Lynch, albeit dead for weeks.</i>\n\nPlace 1 zombie in the indicated space.",,,,,,,,,
SpawnTimer3Zombie2AFoyer.button1,Continue,,,,,,,,,
SpawnTimer3Zombie2BLab.text,"<b>Clock Strikes 12</b>\n\n<i>A living corpse rises up from its resting place.\nJudging from the pictures you've seen, the corpse is Edith Lynch, albeit dead for weeks.</i>\n\nPlace 1 zombie in the indicated space.",,,,,,,,,
SpawnTimer3Zombie2BLab.button1,Continue,,,,,,,,,
SpawnTimer3Zombie2BFoyer.text,"<b>Clock Strikes 12</b>\n\n<i>A living corpse rises up from its resting place.\nJudging from the pictures you've seen, the corpse is Edith Lynch, albeit dead for weeks.</i>\n\nPlace 1 zombie in the indicated space.",,,,,,,,,
SpawnTimer3Zombie2BFoyer.button1,Continue,,,,,,,,,
CustomMonsterEdith.monstername,Edith Lynch,,,,,,,,,
CustomMonsterEdith.info,,,,,,,,,,
SpawnWalter2.text,"Place a maniac in the same space as {rnd:hero}, This is Walter Lynch.\n\nObjective: Defeat Walter Lynch.",,,,,,,,,
SpawnWalter2.button1,Continue,,,,,,,,,
SpawnWalter3.text,"Place a maniac in the same space as {rnd:hero}, This is Walter Lynch.\n\nObjective: Defeat Walter Lynch.",,,,,,,,,
SpawnWalter3.button1,Continue,,,,,,,,,
SpawnWalter4.text,"Place a maniac in the same space as {rnd:hero}, This is Walter Lynch.\n\nObjective: Defeat Walter Lynch.",,,,,,,,,
SpawnWalter4.button1,Continue,,,,,,,,,
SpawnWalter5.text,"Place a maniac in the same space as {rnd:hero}, This is Walter Lynch.\n\nObjective: Defeat Walter Lynch.",,,,,,,,,
SpawnWalter5.button1,Continue,,,,,,,,,
EventEndWin1A2.text,"</i>As he collapses to the ground, the investigators breathe a sign of relief.  Your employer will not be happy, but at least you eliminated the evil spitit's vessel into our world.</i>",,,,,,,,,
EventEndWin1A2.button1,The End,,,,,,,,,
EventEndWin1A3.text,"</i>As he collapses to the ground, the investigators breathe a sign of relief.  Your employer will not be happy, but at least you eliminated the evil spitit's vessel into our world.</i>",,,,,,,,,
EventEndWin1A3.button1,The End,,,,,,,,,
EventEndWin1A4.text,"</i>As he collapses to the ground, the investigators breathe a sign of relief.  Your employer will not be happy, but at least you eliminated the evil spitit's vessel into our world.</i>",,,,,,,,,
EventEndWin1A4.button1,The End,,,,,,,,,
EventEndWin1A5.text,"</i>As he collapses to the ground, the investigators breathe a sign of relief.  Your employer will not be happy, but at least you eliminated the evil spitit's vessel into our world.</i>",,,,,,,,,
EventEndWin1A5.button1,The End,,,,,,,,,
CustomMonsterWalter2.monstername,Walter Lynch,,,,,,,,,
CustomMonsterWalter2.info,,,,,,,,,,
CustomMonsterWalter3.monstername,Walter Lynch,,,,,,,,,
CustomMonsterWalter3.info,,,,,,,,,,
CustomMonsterWalter4.monstername,Walter Lynch,,,,,,,,,
CustomMonsterWalter4.info,,,,,,,,,,
CustomMonsterWalter5.monstername,Walter Lynch,,,,,,,,,
CustomMonsterWalter5.info,,,,,,,,,,
CustomMonsterShoggoth.monstername,Shoggoth,,,,,,,,,
CustomMonsterShoggoth.info,,,,,,,,,,
ActivationShoggoth1.ability,The Shoggoth attacks the investigator in its space or an adjacent space with the lowest .,,,,,,,,,
ActivationShoggoth1.minion,"With alarming speed, the creature tries to overwhelm you with its enormous bulk (; 2). If you pass, you narrowly avoid being crushed by a wave of amorphous gel swarming with eyes; suffer 1 facedown Horror. If you fail, the creature pins you to the floor under its tremendous weight, numerous maws gnashing at your flesh; suffer 2 Damage and become Restrained.",,,,,,,,,
ActivationShoggoth1.master,,,,,,,,,,
ActivationShoggoth1.move,Unable to Attack,,,,,,,,,
ActivationShoggoth2.ability,The Shoggoth attacks the investigator in its space or an adjacent space who has suffered the most Damage.,,,,,,,,,
ActivationShoggoth2.minion,"The creature thrashes toward you, bits of flesh and ooze splattering your face and body (; 2). If you pass, you swallow your fear and throw yourself out of the creature's path; flip 2 Damage faceup. If you fail, the scent of the stuff is too much for you and the thing slams its bulk against you; suffer 2 Damage, become Dazed, and move 1 space away from the Shoggoth.",,,,,,,,,
ActivationShoggoth2.master,,,,,,,,,,
ActivationShoggoth2.move,Unable to Attack,,,,,,,,,
ActivationShoggoth3.ability,The Shoggoth attacks each investigator in its space or an adjacent space.,,,,,,,,,
ActivationShoggoth3.minion,"A multitude of gelatinous tendrils whip outward, grasping anything and everything they can and dragging it toward the creature's horrid maw (; 2). If you pass, you wrestle free from its slimy grip. If you fail, the creeping appendages drag you kicking and screaming toward the creature; suffer 1 facedown Horror, move 1 space toward the Shoggoth, and become Restrained.",,,,,,,,,
ActivationShoggoth3.master,,,,,,,,,,
ActivationShoggoth3.move,Unable to Attack,,,,,,,,,
TokenBasementStairs.text,<i>You notice something in the shadows.</i>,,,,,,,,,
TokenBasementStairs.button1,{action} Search,,,,,,,,,
EventBasementStairsRemove.text,,,,,,,,,,
EventBasementStairsRemove.button1,Continue,,,,,,,,,
TokenEntry.text,<i>There is something under the chair.</i>,,,,,,,,,
TokenEntry.button1,{action} Search,,,,,,,,,
EventEntryRemove.text,,,,,,,,,,
EventEntryRemove.button1,Continue,,,,,,,,,
EventLoseEliminated.text,,,,,,,,,,
EventLoseEliminated.button1,Continue,,,,,,,,,
EventEndLose1C.text,<i>The pile of corpses stinks of decay.  The pile is high enough to appease the virus for the time being.  More visitors can always be invited when the need arises.</i>,,,,,,,,,
EventEndLose1C.button1,The End,,,,,,,,,
EventEndLoseEliminated.text,<i>The remaining investigators barely escape certain doom.  Unfortunately evil overcome this day and the scars inflicted will not easily heal.</i>,,,,,,,,,
EventEndLoseEliminated.button1,The End,,,,,,,,,
TokenFrontDoor.text,An investigator may use an action to escape the mansion.,,,,,,,,,
TokenFrontDoor.button1,{action} Escape,,,,,,,,,
EventUnlockFrontDoor.text,,,,,,,,,,
EventUnlockFrontDoor.button1,Continue,,,,,,,,,
EventEscape.text,Have all investigators escaped the mansion?,,,,,,,,,
EventEscape.button1,Yes,,,,,,,,,
EventEscape.button2,No,,,,,,,,,
EventEndWin3C.text,"<i>Against an insane killer and an army of undead, you decide to return to your employer empty-handed.  For good measure, you burn the house down on your way out.</i>",,,,,,,,,
EventEndWin3C.button1,The End,,,,,,,,,
EventKillZombie.text,,,,,,,,,,
EventKillZombie.button1,Continue,,,,,,,,,
EventKillEdith.text,,,,,,,,,,
EventKillEdith.button1,Continue,,,,,,,,,
Spawn1CZombie1.text,Place 1 Zombie in the indicated space.,,,,,,,,,
Spawn1CZombie1.button1,Continue,,,,,,,,,
Spawn1CZombie2.text,Place 1 Zombie in the indicated space.,,,,,,,,,
Spawn1CZombie2.button1,Continue,,,,,,,,,
EventNoZombie3Available.text,,,,,,,,,,
EventNoZombie3Available.button1,Continue,,,,,,,,,
EventNoZombie32Inv.text,,,,,,,,,,
EventNoZombie32Inv.button1,Continue,,,,,,,,,
Spawn1CZombie3.text,Place 1 Zombie in the indicated space.,,,,,,,,,
Spawn1CZombie3.button1,Continue,,,,,,,,,
EventNoZombie4AvailableE.text,,,,,,,,,,
EventNoZombie4AvailableE.button1,Continue,,,,,,,,,
EventNoZombie4AvailableZ.text,,,,,,,,,,
EventNoZombie4AvailableZ.button1,Continue,,,,,,,,,
EventNoZombie43Inv.text,,,,,,,,,,
EventNoZombie43Inv.button1,Continue,,,,,,,,,
Spawn1CZombie4.text,Place 1 Zombie in the indicated space.,,,,,,,,,
Spawn1CZombie4.button1,Continue,,,,,,,,,
TokenHallSeal2E.text,,,,,,,,,,
TokenHallSeal2E.button1,Confirm,,,,,,,,,
TokenBedroomSeal2E.text,,,,,,,,,,
TokenBedroomSeal2E.button1,Confirm,,,,,,,,,
TokenFoyerKitchenSeal2E.text,,,,,,,,,,
TokenFoyerKitchenSeal2E.button1,Confirm,,,,,,,,,
TokenBasementSeal2E.text,,,,,,,,,,
TokenBasementSeal2E.button1,Confirm,,,,,,,,,
TokenStudySeal2E.text,,,,,,,,,,
TokenStudySeal2E.button1,Confirm,,,,,,,,,
TokenFoyerStudySeal2E.text,,,,,,,,,,
TokenFoyerStudySeal2E.button1,Confirm,,,,,,,,,
TokenStudyDoor2E.text,,,,,,,,,,
TokenStudyDoor2E.button1,Confirm,,,,,,,,,
TokenBilliardDoor2E.text,,,,,,,,,,
TokenBilliardDoor2E.button1,Confirm,,,,,,,,,
TokenEntry2E.text,,,,,,,,,,
TokenEntry2E.button1,Confirm,,,,,,,,,
TokenFoyerSearch2E.text,,,,,,,,,,
TokenFoyerSearch2E.button1,Confirm,,,,,,,,,
TokenStudyExplore2E.text,,,,,,,,,,
TokenStudyExplore2E.button1,Confirm,,,,,,,,,
TokenHallExplore2E.text,,,,,,,,,,
TokenHallExplore2E.button1,Confirm,,,,,,,,,
TokenBasementExplore2E.text,,,,,,,,,,
TokenBasementExplore2E.button1,Confirm,,,,,,,,,
TokenKitchenExplore2E.text,,,,,,,,,,
TokenKitchenExplore2E.button1,Confirm,,,,,,,,,
.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese,Czech
