.,Spanish
EventMostrarSotanoAmarillo.text,Unas escaleras de madera bajan a un sótano con el suelo lleno barro. Huele a estiércol y humedad. \n\nColoca el módulo de <b>Sótano</b> {MAD20} y la ficha de puerta y pared en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada.
EventMostrarSotanoAmarillo.button1,Continuar
EventEntrarSotanoAmarillo.text,"Una puerta de madera abierta de par en par. \n\n Si el módulo de sótano está activo este turno, puedes atravesar la puerta sin gastar una acción ({action})."
EventEntrarSotanoAmarillo.button1,Continuar
EventMostrarInvernadero.text,El viejo vivero esta rodeado de tiestos con flores secas y ennegrecidas. Unos grandes ventanales que permiten ver un jardín exterior. Una puerta blanca conduce al jardín.\n\n Coloca el módulo de <b>Vivero</b> {MAD20}.
EventMostrarInvernadero.button1,Continuar
EventMythosFlavor01.text,De repente la luz de la mesita de noche empieza a tintinear como si fuera a apagarse en cualquier momento. No hay ningún efecto inmediato.
EventMythosFlavor01.button1,Continuar
EventMythosFlavor02.text,"El ambiente de la habitación empieza a asfixiarte. Cada investigador debe resolver una tirada de observación ({observation}:2). \nSi superas la tirada, te das cuenta que las ondulantes paredes de la habitación no dejan de encoger el espacio. Una fuerte sensación de claustrofobia invade tu mente; Sufres 1 de Horror y adquieres el estado <b>Desconcertado</b>. \nSi fallas la tirada, el tintineo de la luz de lámpara de la mesita de noche, sigue llamando tu atención. Adquieres el estado <b>Concentrado</b>."
EventMythosFlavor02.button1,Continuar
EventMythosFlavor04.text,El suelo empieza a humedecerse. Una arcada sube desde tu estomago al darte cuenta de que lo que tiñe tus zapatos es sangre podrida. Oyes un leve chapoteo y las pisadas de unos pies descalzos empiezan a recorrer las paredes de la habitación. \n\nCada investigador sufre 2 de Horror boca abajo anulado por ({will}-1).
EventMythosFlavor04.button1,Continuar
EventMythosSoft01.text,"Este evento de los mitos afecta a todos los investigadores en un espacio de pasillo. \n Notas unos dedos largos y fríos que rodean tu cuello, pero no consigues ver nada. Aprietan tanto que te falta el aire y la cabeza te da vueltas. Un sudor frío te cae por la nuca y temes desmayarte en cualquier momento. ({strength}:2); \nSi fallas, te desmayas; sufres 2 Daño boca abajo y adquieres el estado <b>Aturdido</b>. \nSi tienes éxito, consigues liberarte aunque no puedes parar de toser. Intentas sacar algo de tu garganta que te esta molestando, hasta que escupes una pluma de pájaro; Sufres 1 Daño boca abajo y ganas 1 Pista {clue}."
EventMythosSoft01.button1,Continuar
EventMythosHABOUT.text,"Este evento de los mitos afecta a todos los investigadores en un espacio de pasillo. \n\n A cada paso que das el pasillo se alarga más y más, las puertas se desvanecen mientras avanzas y solo puedes distinguir lo que parece una pequeña puerta al fondo ({will}:2). \n\nSeleccionad fallo si algún jugador ha tenido un fracaso. Los efectos de <b>Fallo</b> Solo se aplicarán a los investigadores que no hayan superado la tirada."
EventMythosHABOUT.button1,Fallo
EventMythosHABOUT.button2,Éxito
EventMythosHABOUT02.text,"Echas a correr presa del pánico en dirección a la única salida que ves, hasta que un fuerte impacto en la cara te detiene en seco. Te incorporas de nuevo y ves un final de pasillo, pero no hay ninguna puerta... \n\nColoca a tu investigador en el final de pasillo, sufres 1 de Horror, ganas 1 Pista {clue} y adquieres el estado <b>Aturdido</b>."
EventMythosHABOUT02.button1,Continuar
EventMythosSoft02.text,"<b>{rnd:hero}</b> se da la vuelta al oír el piar de un pajarillo, pero al girarse no encuentra nada. \n\n¿Que hace <b>{rnd:hero}</b>?"
EventMythosSoft02.button1,Investigar
EventMythosSoft02.button2,Ignorar
EventMythosSoft02Consolar.text,"Examinas meticulosamente el espacio hasta que encuentras una pluma de color verde. Al cogerla, un escalofrío recorre tu cuerpo cuando ves que se trata de pequeño tentáculo verde que se retuerce como la cola de un lagarto recién cortada. La sueltas instintivamente y vuelve a convertirse en una pluma verde que cae lentamente hasta el suelo.\n\nGanas 1 Pista {clue} y sufres 1 de Horror anulado por ({will}-2)."
EventMythosSoft02Consolar.button1,Continuar
EventMythosSoft02Ignorar.text,"No ves nada a simple vista, así que decides seguir tu camino. Aunque a cada paso que das, el suave piar sigue llamándote y poco a poco se va clavando cada vez más en tus oídos, como si se tratara de pequeñas agujas de metal. ({will}:2)."
EventMythosSoft02Ignorar.button1,Éxito
EventMythosSoft02Ignorar.button2,Fallo
EventMythosSoft02IgnorarBIEN.text,"Respiras profundamente. Hace demasiadas horas que no comes ni duermes, tu cerebro te esta haciendo una mala pasada. Sigues andando y a medida que te alejas, el piar desaparece y un profundo alivio se apodera de ti.\n\nPuedes descartar una de tus cartas de Horror boca abajo o poner una carta de Horror boca abajo."
EventMythosSoft02IgnorarBIEN.button1,Continuar
EventMythosSoft03.text,"Este evento de los mitos afecta al investigador con más objetos. \n\n Un sonido estridente se acerca, de repente estás envuelto en una masa negra de plumas y picos que graznan a tu alrededor. Empiezan a picarte e intentan colarse debajo de tus ropas. Sufres 2 de Daño boca abajo anulado por  ({agility}-2); Sueltas tantos objetos como puntos de Daño que hayas sufrido +1. Luego sufres 1 de Horror boca abajo."
EventMythosSoft03.button1,Continuar
EventMythosSoft04.text,"Hay mucho polvo blanco en suspensión. Levantas la mirada. De repente oyes un fuerte crujido y ves como el techo de la casa sale despedido hacia arriba. \nMientras se eleva, explota en mil pedazos, dejando a la vista un una gran masa de agua marrón y una sombra que se mueve al otro lado. \nHuele a tabaco y a alcohol ({lore}:2); \nSi superas la tirada reconoces el rostro al otro lado del agua. Es el del Sr. Ford que mira dentro y sonríe. Ganas 2 Pistas {clue} y sufres 1 de Horror boca abajo. Luego todos los investigadores ponen boca arriba 3 de Horror."
EventMythosSoft04.button1,Continuar
EventMythosSoft05.text,El estallido de las bombillas te pilla por sorpresa. \n\nEste evento de los mitos afecta a todos los investigadores que no estén en un espacio de pasillo. Coloca fichas de oscuridad en tu espacio y aquellos a tu alcance. Sufres 2 de Horror boca abajo anulado por Saber ({lore}-1).
EventMythosSoft05.button1,Continuar
EventMythosSoft06.text,El suelo cruje y empieza a romperse en mil pedazos bajos los pies de <b> {rnd:hero} </b>. A cada paso que da hay otro trozo que se rompe ({agility}:2).
EventMythosSoft06.button1,Éxito
EventMythosSoft06.button2,Fallo
EventMythosSoft06T.text,Empieza a correr y saltar de tabla en tabla hasta que alcanza de nuevo el suelo firme de la casa. Sufre 2 de Horror boca abajo; luego pones 1 de Horror boca arriba y ganas una Pista {clue}.
EventMythosSoft06T.button1,Continuar
EventMythosSoft06F.text,"Cae y sigue cayendo en lo que parece una eternidad. \n\nRetira al investigador del tablero de juego. \nUn investigador fuera del tablero de juego no puede sufrir Daño, ni Horror y no puede realizar pruebas de mitos."
EventMythosSoft06F.button1,Continuar
EventVistazo2.text,Unas escaleras descienden al piso inferior. Están flanqueadas de paredes repletas de retratos de niños de aspecto pálido y con los ojos cerrados. \n\nRetira esta ficha de <b>Vistazo</b> y coloca el módulo de <b>Escalera de pasillo</b> {MAD20}.
EventVistazo2.button1,Continuar
EventRegresoMythos6.text,"Abres los ojos y reconoces el pasillo de la casa. La ansiedad hace que te cueste respirar. ¿Habrá sido todo un sueño? \n\nColoca a tu investigador que estaba fuera del tablero, por el evento de los mitos anterior, en el lugar señalado. Luego coge el mazo de Horror y roba la primera carta de Horror que se mantenga boca arriba. Añádela al Horror de tu personaje."
EventRegresoMythos6.button1,Continuar
EventMythosCocina.text,"Este evento de los mitos afecta a todos los investigadores en la cocina y/o comedor. \n\nLa mesa del comedor, esta puesta para ocho comensales, la vajilla es de buena calidad y la reluciente cubertería de plata está dispuesta meticulosamente. Mientras estás absorto analizando los intrincados relieves del decantador de vino, oyes un silbido y un lacerante dolor hace que instintivamente pongas la mano en cuello. Al apartarla ves como un hilo de sangre la ha teñido de rojo. Levantas la vista y ves un cuchillo clavado en la pared de enfrente. Te vuelves rápidamente, pero no ves a nadie. Sufres 3 de Daño boca abajo anulado por ({agility}-1). Si sufres al menos 1 de Daño adquieres el estado <b>Aturdido</b>. Luego sufres 1 de Horror boca abajo anulado por ({will}-2). "
EventMythosCocina.button1,Continuar
EventMythosSoft07.text,"<b> {rnd:hero} </b> se apoya un momento en la pared, para retomar aire. Suspira profundamente y  trata de relajarse, cuando unas manos salen de la pared y le agarran por detrás tirando hacia adentro. \n\nSufre 2 de Horror boca abajo. Luego realiza una prueba de ({strength}:2); Si falla suelta 2 objetos aleatorios y queda <b>Aturdido</b>."
EventMythosSoft07.button1,Continuar
EventMythosBiblioteca.text,"Este evento de los mitos afecta a todos los investigadores en la biblioteca. \n\nUna niña rubia de grandes ojos marrones, un elegante vestido y un osito de peluche sin ojos en la mano, se aparece ante ti y empieza a cantar: <i>- 1,2,3,4,… Escoge un número y lee un rato… 4,3,2,1 no te equivoques o serás humo.</i>\n\nColoca el token de niña verde en el lugar señalado."
EventMythosBiblioteca.button1,1
EventMythosBiblioteca.button2,2
EventMythosBiblioteca.button3,3
EventMythosBiblioteca.button4,4
EventMythosBiblioteca12.text,"<i>- Ese cuento no me gustó! Tuve un montón de pesadillas! -</i> Dice sollozando con la cara hinchada y roja como un tomate. Ves como no para de hinchársele la vena de la frente, hasta que de repente le explota la cabeza, llenando la habitación de vísceras y sangre. \n\nPon boca arriba todas tus cartas de Horror y Daño. Descarta el personaje de niña verde."
EventMythosBiblioteca12.button1,Continuar
EventMythosBiblioteca3.text,"<i>- Ese es también mi cuento preferido! -</i> Dice dulcemente, mientras se eleva del suelo. Se acerca levitando y te acaricia la cara con suavidad. El miedo te paraliza y notas como el resplandor que emana de sus manos alivia tu dolor. \n\n Puedes descartar 2 de Daño que tengas boca abajo o poner 2 de Daño boca abajo. Luego Sufres 1 de Horror anulado por ({observation}-2). Descarta el personaje de niña verde."
EventMythosBiblioteca3.button1,Continuar
EventMythosBiblioteca4.text,<i> -¡Jolin! Ese cuento era muy aburrido. Solo palabras raras que no entendí y no conseguí dormirme…-</i> \n Frunze el ceño mientras se desvanece.\n\n Sufres 1 de Horror anulado por ({lore}-2) y quedas <b>Desconcertado</b>. Descarta el personaje de niña verde.
EventMythosBiblioteca4.button1,Continuar
EventMythosSoft08.text,"La puerta lateral de la cocina salta por los aires y deja ver el exterior de la casa; donde un aplique de pared ilumina un camino empedrado. \n\nRetira la ficha de exploración y coloca el módulo <b>Parcela</b> {MAD20}. \nCada investigador debe resolver una prueba de ({observation}:1); \nSi superas te das cuenta unos ojos rojos que brillan en la oscuridad. Sufres 1 de Horror boca abajo y quedas <b>Desconcertado</b>. \nSi fallas el crujir de la casa te pilla por sorpresa, te caes y te golpeas la cabeza con la pared. Sufres 3 de Daño boca abajo y quedas <b>Aturdido</b>."
EventMythosSoft08.button1,Continuar
EventPostMythos8.text,"Un perro negro, parecido a un chacal, surge de la oscuridad y se planta delante de la parcela exterior, lleva algo en la boca. \n\nColoca la ficha de perro en el lugar señalado."
EventPostMythos8.button1,Continuar
EventYogDogBites.text,"El perro gruñe y te enseña los colmillos, intentas que se calme acercándole la mano, pero te muerde y luego echa a correr hacia la oscuridad. \n\nSufres 1 Daño boca abajo y adquieres el estado <b>Concentrado</b>."
EventYogDogBites.button1,Continuar
EventYodDogOler.text,El perro te olisquea la mano y luego echa a correr hacia la oscuridad asustado como un cachorro.\n\n Sufres 1 de Horror y quedas <b>Desconcertado</b>.
EventYodDogOler.button1,Continuar
EventMythosSoft09.text,"<b> {rnd:hero} </b> ya no puede evitar hacer lo que le dicen las voces en su cabeza. Le susurran verdades que nadie debería conocer y lleva demasiado rato evitándolas. \n<b> {rnd:hero} </b> se quita toda su ropa mientras grita en un idioma que nadie mas puede entender. Le prende fuego y echa a correr. \n\n <b> {rnd:hero} </b> Suelta todos sus objetos, coloca una ficha de fuego en el espacio y mueve a <b> {rnd:hero} </b> 2 espacios en una misma dirección. <b> {rnd:hero} </b> Sufre 2 de Horror boca abajo y 2 de Daño boca abajo. Luego gana 2 Pistas {clue}."
EventMythosSoft09.button1,Continuar
EventMythosLavabo.text,"Este evento de los mitos afecta a los investigadores dentro del lavabo. \n\n Una niebla espesa y húmeda llena el espacio. La puerta no se abre y no puedes ver más allá de tu nariz ({observation}:2). \nSi superas la tirada, te tiras al suelo justo por debajo de la niebla buscando el aire fresco.\nSi fallas, no consigues encontrar una salida. La temperatura ha bajado rápidamente y te das cuenta que ya no sientes los brazos y piernas. Pierdes el conocimiento. Quedas <b>Retenido</b> y sufres 1 de Daño."
EventMythosLavabo.button1,Continuar
EventMythosCampanario.text,Este evento de los mitos afecta a todos los investigadores que no estén en el campanario. \n\n La casa empieza a crujir y un fuerte ruido de campana te ensordece ({agility}:2); Si fallas quedas <b>Aturdido</b> y sufres 1 de Daño.
EventMythosCampanario.button1,Continuar
EventMythosHard02BPACT.text,"Coges el pequeño frasco y bebes todo el contenido. Notas como el líquido te quema mientras cae por el esófago, pero pocos segundos después empiezas a sentirte mucho mejor. Giras la cabeza y te ves reflejado en un espejo. Te das cuenta que tus ojos han cambiado de color, ahora tus pupilas son de color púrpura.\n\n Puedes descartar todas las cartas de Horror y de Daño que tengas boca abajo, luego coge el indicador violeta de monstruo y colócalo sobre tu hoja de personaje."
EventMythosHard02BPACT.button1,Continuar
EventMythosHard02CPACT.text,"Se hace el silencio. Su cuerpo empieza a flotar. Mientras se eleva del suelo, extiende el brazo derecho señalándote con el dedo índice: \n<i> -¿Por qué no quieres jugar con nosotros, pajarito? - </i>–\nTe mira fijamente con unos ojos que se han vuelto completamente negros ({will}:3)."
EventMythosHard02CPACT.button1,Éxito
EventMythosHard02CPACT.button2,Fallo
EventMythosHard02NoPact.text,"Sacas fuerza de lo más profundo de tu ser. Agarras el mango de una pala que esta apoyada en la pared y golpeas al niño en la cabeza. La pala atraviesa tu objetivo y pierdes el equilibrio, mientras ves como el niño se desvanece en una niebla desdibujada por el trazo de tu embestida. \n\nSufres 1 de Horror anulado por ({will}-2) y 1 de Daño boca abajo anulado por ({agility}-2)."
EventMythosHard02NoPact.button1,Continuar
EventMythosHypnos.text,Este evento de los mitos afecta a todos los investigadores en el vivero. \nColoca la ficha de personaje azul en el lugar señalado.\n\nEl joven eremita de ojos vidriosos que has visto antes te ofrece una flor de amapola ({influence}:2).\nSelecciona éxito o fracaso en función de la mayoría de los resultados entre los investigadores. En caso de empate selecciona fracaso.
EventMythosHypnos.button1,Éxito
EventMythosHypnos.button2,Fallo
EventDentroInvernaderoGOOD.text,"A través de los enormes ventanales que rodean el vivero, una gigantesca luna azul brilla en lo alto del cielo. Enfrente un apuesto joven con unas tijeras en la mano, está podando las amapolas que se extienden y decoran las paredes. No puedes apartar la mirada de la tranquila visión. \n\nColoca la ficha de Exploración y de personaje en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada."
EventDentroInvernaderoGOOD.button1,Continuar
EventHypnosGOOD.text,"Aceptas la amapola ye te la colocas sobre la oreja. El joven sonríe y desaparece, la calma se apodera de ti y te sientes aliviado.\n\n Uno de los investigadores en el vivero puede descartar una carta de Horror boca abajo o poner una carta de Horror boca abajo. Luego gana 1 Pista {clue} y descarta la ficha de personaje azul."
EventHypnosGOOD.button1,Continuar
EventHypnosBAD.text,No aceptas la amapola y de un manotazo la tiras al suelo. El joven enfurecido te apuñala con las tijeras de podar y luego desaparece en un pestañeo.\n\n Uno de los investigadores en el vivero sufre 4 de Daño anulado por ({strength}-2). Descarta la ficha de personaje azul.
EventHypnosBAD.button1,Continuar
EventMythosDespacho.text,"Este evento de los mitos afecta a todos los investigadores en el despacho. \n\nParece el despacho de un coleccionista. Puedes ver varios tomos antiguos en la estantería del fondo, uno de ellos con el lomo muy ornamentado con relieves dorados. Lo sacas con sumo cuidado y lo empiezas a leer. Contiene una loca teoría sobre un mal sin mente que reside en el centro del universo. \n\n Cada investigador en el despacho puede ganar 1 o 2 Pistas {clue}, sufre 1 de Horror boca abajo por cada Pista ganada."
EventMythosDespacho.button1,Continuar
EventDentroInvernaderoBAD.text,"A través de los enormes ventanales que rodean el vivero, una gigantesca luna azul brilla en lo alto del cielo. Enfrente un apuesto joven con unas tijeras en la mano, está podando las amapolas que se extienden y decoran las paredes. No puedes apartar la mirada de la tranquila visión. \n\nColoca la ficha de Exploración y de personaje en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada."
EventDentroInvernaderoBAD.button1,Continuar
EventRondaFinal.text,Ésta es la última fase de investigadores.
EventRondaFinal.button1,Continuar
EventTextLore00.button1,Continuar
EventIntroMission01.text,Os despertáis en una pequeña habitación poco iluminada. La luz de la mesita de noche ilumina un bonito jarrón de porcelana lleno de amapolas rojas. Sólo la luz de un viejo escritorio os dejan ver que las paredes están llenas de cuadros de rostros desconocidos que parecen seguiros con la mirada. \n\n Coloca el módulo Dormitorio 1 {MAD20} y una ficha de pared en el lugar señalado. Cada investigador empieza con 1 Pista {clue}.
EventIntroMission01.button1,Continuar
EventDesarrolloPasillo1.text,Hay dos puertas que dan al pasillo. Coloca las fichas de exploración en los lugares los lugares señalados.
EventDesarrolloPasillo1.button1,Continuar
EventDesarrolloPasillo1B.text,Coloca una ficha de <b>Vistazo</b> en el lugar señalado.
EventDesarrolloPasillo1B.button1,Continuar
EventVistazo1B.text,"Un gran escritorio de madera descansa en la pared, junto a una puerta blanca de madera.\n\n Coloca las fichas de Búsqueda y Exploración en los lugares señalados."
EventVistazo1B.button1,Continuar
EventVistazo1C.text,El pasillo sigue al fondo. Coloca la ficha de <b>Vistazo</b> en el lugar señalado.
EventVistazo1C.button1,Continuar
EventVistazo2B.text,"En la parte baja de la escalera, hay una elegante puerta de madera. Coloca una ficha de Exploración en el lugar señalado."
EventVistazo2B.button1,Continuar
EventEventoLuckyJugar.text,Pasas un buen rato jugando con la niña. Te reconforta oír el feliz sonido de su risa y sientes que ahora todo puede ir mejor. No puedes evitar sonreír también.
EventEventoLuckyJugar.button1,Continuar
EventSustoBiblioteca.text,El crujir de la madera te hace clavar la mirada al fondo de la biblioteca. Las paredes se desplazan hacia los lados y una puerta surge de la nada.\n\nCada Investigador en un espacio de Biblioteca o Comedor sufre 3 de Horror anulado por ({will}-1).
EventSustoBiblioteca.button1,Continuar
EventBusquedaFake1.text,"Al inspeccionarlos más de cerca, te das cuenta que están en blanco y negro, tienen la tez extremadamente pálida y los ojos cosidos. \n\n Sufres 1 de Horror boca abajo y adquieres el estado <b>Desconcertado</b>."
EventBusquedaFake1.button1,Continuar
EventResMarcadorFake2.text,"Rebuscas entre los papeles y no encuentras nada de interés, están todos en unos caracteres que parecen orientales. Ganas 1 Pista {clue} y adquieres el estado <b>Desconcertado</b>."
EventResMarcadorFake2.button1,Continuar
EventRes1MarcadorFake4.text,Excavas hasta que encuentras un trozo de cadena que se hunde aún más en la tierra. Crees que tirando con fuerza podrás desenterrarla ({strength}).
EventRes1MarcadorFake4.button1,Desenterrar
EventRes1MarcadorFake4.button2,Oculto
EventRes2MarcadorFake4.text,"La cadena cede. Hay algo unido a ella. Sigues tirando hasta que empiezas a desenterrar una hilera de pequeñas calaveras humanas, aún con restos de piel, unidas a la cadena por el pelo. Parece no tener fin. \n\nSufres 2 de Horror y adquieres el estado <b>Desconcertado</b>."
EventRes2MarcadorFake4.button1,Continuar
EventResMarcadorFake5.text,"Con cuidado deja las tijeras a un lado y se gira lentamente. Sus enormes y desproporcionados ojos de cristal se clavan en los tuyos. Por un instante dudas, si esos enormes ojos de cristal realmente no ven nada. Parece que quiere decirte algo, pero al abrir la boca te das cuenta que no tiene lengua y un graznido de cuervo sale de su interior. Sonríe plácidamente y se desvanece ante tu ojos. \n\n Sufres 2 de Horror anulado por ({will}-1) y adquieres el estado <b>Desconcertado</b>."
EventResMarcadorFake5.button1,Continuar
EventGatoHabla1.text,"<i>-Buenas noches, soñador. Que bien sienta el aire fresco, ¿verdad?-</i> Dice el gato blanco con una voz femenina y clara. \n\n Sufres 1 de Horror anulado por ({lore}-1)."
EventGatoHabla1.button1,Continuar
EventResEntregarObj1.text,"La gata se levanta sobre sus patas traseras y con sus manos que ahora parecen humanas, abre el pergamino. \nTe dice muy seria: \n<i>-Pensaba que estaría enrollado entro. Esto no es lo que estoy buscando, no me hagas perder el tiempo.-</i> \nY vuelve a sentarse. \n\n Sufres 1 de Horror anulado por ({will}-1). Ganas 1 {clue} después coloca la ficha de gato el lugar señalado."
EventResEntregarObj1.button1,Continuar
EventResEntregarObj2.text,"<i>-Parece que ningún pajarito nacerá de este huevo. Esto no es lo que necesito, pero me lo voy a quedar de todos modos. Demasiado poder en unas manos tan pequeñas.-</i> Con una gracia felina te arrebata el objeto y vuelve a sentarse.. \n\n Descarta el Objeto Común <b>Talismán Protector</b>. \n Sufres 1 de Horror anulado por ({will}-1). Ganas 1 Pista {clue}, después coloca la ficha de gato el lugar señalado."
EventResEntregarObj2.button1,Continuar
EventResEntregarDaga.text,"Le enseñas la daga ornamentada. La gata agacha la cabeza y su tamaño empieza a aumentar. El pelo deja lugar a la piel y las garras a manos y pies. Ante ti, la esbelta figura de una mujer joven que sonríe y te mira con sus ojos felinos. Dos orejas de gato sobresalen entre su melena oscura: \n<i>-Se va poner furioso, pero al fin la he recuperado. Buen trabajo soñador.-</i> \n Sufres 2 de Horror anulado por ({will}). Ganas 1 Pista {clue}. Descarta la ficha de gato y coloca la ficha de personaje en el lugar señalado."
EventResEntregarDaga.button1,Continuar
EventEntrarPasadizoSecreto.text,"Tragas saliva y te adentras en las profundidades de la pared. Avanzas con cautela en una absoluta oscuridad. \n\nRetira al investigador del tablero.\nUn investigador fuera del tablero de juego no puede sufrir Daño, Horror ni ser afectado por eventos durante la fase de mitos."
EventEntrarPasadizoSecreto.button1,Continuar
EventMostrarSotanoPasadizo.text,Doblas una esquina y aparece una tenue luz amarilla al final del túnel. Te diriges hacia ella para llegar a lo que parece el Sótano. \n\nColoca la ficha de pasadizo secreto en el lugar señalado.
EventMostrarSotanoPasadizo.button1,Continuar
EventMostrarBiblioteca.text,Las bisagras de la puerta chirrían cuando la abres para dar paso a la biblioteca. Una bocanada de aire frío te hace tiritar. Todas las paredes están cubiertas con estanterías llenas de libros. \n\nRetira la ficha de exploración y coloca el módulo <b>Biblioteca</b> {MAD20}.
EventMostrarBiblioteca.button1,Continuar
EventDentroBiblioteca.text,Un par de butacas rojas y una alfombra persa enorme le dan un toque acogedor a una biblioteca abarrotada de libros. Llama tu atención que alguien se ha dejado uno abierto en una de las butacas. La estantería parece tener una buena colección de libros antiguos. \n\nColoca las fichas de Búsqueda en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada.
EventDentroBiblioteca.button1,Continuar
EventLuzVerdeSalidaON.text,Una luz verde se enciende en el pulsador. Oyes un breve sonido mecánico a lo lejos.
EventLuzVerdeSalidaON.button1, Continuar
EventLuzAmarilloSalidaON.text,Una luz amarilla se enciende en el  pulsador. Oyes un breve sonido mecánico a no muy lejos de donde te encuentras ahora.
EventLuzAmarilloSalidaON.button1,Continuar
EventLuzAzulSalidaON.text,Una luz azul se enciende en el  pulsador. El silencio envuelve la habitación.
EventLuzAzulSalidaON.button1, Continuar
EventLuzApagadoSalidaON.text,"Las luces del panel se apagan. Oyes un sonido mecánico que se recorre las habitaciones, como si algo se acercara a ti, hasta que cesa de golpe cuando más fuerte lo oyes."
EventLuzApagadoSalidaON.button1,Continuar
EventLuzVerdeSalidaOFF.text,Una luz verde se enciende en el pulsador. Oyes un breve sonido mecánico a lo lejos.
EventLuzVerdeSalidaOFF.button1,Continuar
EventBusquedaCampana.text,La campana no parece tener una mota de polvo encima. Hay una palanca justo debajo. \n\nDescarta esta ficha de Búsqueda y coloca una de Interacción en el lugar señalado.
EventBusquedaCampana.button1,Continuar
EventAccionarAtras2.text,Oyes el ruido de algo que se arrastra el en pasillo. Ganas 1 Pista {clue} y sufres 1 de Horror boca abajo anulado por ({will}-1).\nColoca el token de pasadizo secreto en el espacio de pasillo. Puedes interaccionar con él.
EventAccionarAtras2.button1,Continuar
EventAccionarAtras.text,"Mueves la palanca hacia atrás (-). Un mecanismo acciona la campana y aunque esta empieza a balancearse, no suena."
EventAccionarAtras.button1,Continuar
EventAbrirPuertaCampanario.text,"La puerta se parte en dos, te desequilibras y caes encima de los restos astillados de la puerta. \n\nSufres 4 de Daño boca abajo anulado por ({agility}-1). \n\nRetira la ficha de exploración y coloca el módulo <b>Campanario</b> {MAD20}. Coloca a tu investigador un espacio dentro del campanario."
EventAbrirPuertaCampanario.button1,Continuar
EventAccionarAdelante.text,Mueves la palanca hacia delante (+). Un mecanismo acciona la campana y esta empieza a balancearse. La campana suena.
EventAccionarAdelante.button1,Continuar
EventDentroCampanario.text,"Echas un vistazo mientras te levantas un poco aturdido, por el impacto. Una campana de bronce se alza en lo alto del campanario, parece que ha estado usándose como almacén. \n\nColoca las fichas de Búsqueda en los lugares señalados."
EventDentroCampanario.button1,Continuar
EventForzarPuertaCampanario.text,La puerta no se abre. La humedad ha hecho que la madera se hinche y quede trabada. Empujas con todas tus fuerzas para desatascar la puerta.\n\nTira 2 dados adicionales ({strength}) si tienes el objeto común <b>palanca</b>.
EventForzarPuertaCampanario.button1,Continuar
EventForzarPuertaCampanario.button2,Oculto
EventMALMAL.text,"El niño te abraza con fuerza y te susurra al oído: <i>\nYo soy tu y tu eres yo, ahora lo verás</i>.\n\nTe ves a ti mismo tumbado, pareces dormido y debería haber alguien llorando a tu lado, pero estas solo, en medio de la nada, todo es oscuridad y te falta el aire. Te diriges hacia un punto de luz que no quieres alcanzar y ves la cara de ese hombre, con los ojos rasgados, te agarra la cabeza con sus enormes y frías manos para arrastrarte hacia la luz. Te señala la cortina roja y una bandada de pájaros de colores la atraviesa dirigiéndose directo hacia ti. \nCierras los ojos y oyes la voz de un niño pequeño: \n-<i>Bienvenido a casa, Pajarito.-</i>. \n\nGanas el hechizo <b>Alimentar la mente</b>. \nEl investigador descarta todas sus cartas de Horror boca abajo y coge una carta de Locura, pasa a estar <b>LOCO</b>.\nSi el investigador ya estaba loco, este es retirado de la partida y los investigadores disponen de un turno adicional para completar la investigación."
EventMALMAL.button1,Continuar
EventMAL.text,"<i>-¡¡Yo quería ese pajarito!!-</i> \nGrita el niño mientras te mira con la cara roja de llorar. Lo envuelves entre tus brazos y sus llantos cesan. Levanta la cabeza, sonríe y dice mirándote a los ojos: \n <i>-Ya se que haremos,… tu vas a ser mi pajarito.-</i>"
EventMAL.button1,Continuar
EventBorrarBaho.text,Borras el escrito con el antebrazo y sientes que tu acción te alivia. \n\nDescarta 1 de Horror boca abajo o pon 1 de Horror boca abajo. Descarta esta ficha de Búsqueda.
EventBorrarBaho.button1,Continuar
EventDescifrarBaho2.text,Las luces del lavabo se apagan de repente y el aire se congela. \n\n Coloca una ficha de oscuridad en este espacio. Todos los investigadores en el espacio de lavabo sufren 2 de Horror anulado por ({will}-1).
EventDescifrarBaho2.button1,Continuar
EventDescifrarBaho3.text,"Las luces vuelven a encenderse. Oyes el sollozo de un niño pequeño que ha aparecido de repente, hecho un ovillo en el centro del baño. \n\nDescarta la ficha de oscuridad y coloca la ficha de personaje en el lugar señalado."
EventDescifrarBaho3.button1,Continuar
EventSolucionPuzzleBIBLIO.text,"Al encajar los símbolos, estos desaparecen y oyes el chasquido de la puerta al abrirse."
EventSolucionPuzzleBIBLIO.button1,Continuar
EventMostrarPasilloLavabo.text,Un pequeño y poco iluminado distribuidor decorado con una butaca en una esquina. \n\nRetira la ficha de exploración y coloca el módulo <b>Esquina de pasillo 3</b> {MAD20}.
EventMostrarPasilloLavabo.button1,Continuar
EventDentroPasilloLavabo.text,"A un lado, una puerta conduce a un baño. Enfrente puedes ver una puerta de madera combada por la humedad. Llama tu atención que la butaca de la esquina está cubierta de plumas de colores. \n\nColoca las fichas de Exploración y Búsqueda en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada."
EventDentroPasilloLavabo.button1,Continuar
